RAJ2000,DEJ2000,W1mag,W2mag,W3mag,W4mag
0.0793772,-22.5761554,15.130,14.868,11.450,8.595
0.0912074,-22.5879573,16.224,16.048,12.339,8.382
0.1004063,-22.5888837,14.308,14.103,10.370,8.101
0.1115195,-22.5959599,15.558,15.137,11.501,8.356
0.3129671,13.1131761,14.199,14.058,11.020,8.362
0.3331462,13.1112154,10.273,10.167,6.922,4.483
0.3726389,13.0985394,16.451,16.545,12.519,8.836
2.8351978,-53.9557714,16.238,15.989,12.865,8.849
2.8378998,-53.9811095,15.083,14.892,10.865,8.435
2.8428158,-53.9539555,16.748,16.959,12.635,9.165
2.8524137,-53.9310158,13.288,13.123,9.227,7.371
3.3139385,-41.5710571,14.833,14.834,11.616,9.038
3.3172848,-41.5955268,13.845,13.449,9.311,7.480
3.3265429,-41.5732188,12.322,12.276,12.095,9.509
3.3528167,-41.5784179,14.255,14.085,10.580,8.880
3.5174332,-22.5528013,14.094,13.723,10.217,8.555
3.5320742,-22.5630002,15.013,14.867,12.086,8.988
4.3706270,-69.1390454,13.928,13.656,10.912,8.647
4.4334557,-69.1418033,14.723,14.178,10.588,8.566
4.4729962,-69.1525538,16.284,16.554,12.981,8.942
4.4971428,-69.1620508,14.523,14.413,10.985,8.576
4.6039563,-42.1263787,15.684,15.141,11.031,8.988
4.6103796,-42.1377054,14.037,13.880,10.615,8.673
4.6210498,-42.1213554,16.806,16.539,12.340,8.663
4.6438172,-42.1248803,14.470,13.812,9.894,7.640
4.6541619,-35.9395393,13.933,13.771,10.289,7.351
4.6584021,-35.9454757,13.736,13.718,10.998,7.804
4.6693606,-35.9548718,16.655,16.415,12.698,8.814
5.3538384,38.0706969,13.813,13.537,9.799,7.919
5.3806169,38.0770546,11.511,11.286,7.627,5.507
5.3921671,38.0930026,10.936,10.644,6.357,4.127
5.6534506,-20.5709167,15.145,14.290,10.217,8.229
5.6649492,-20.5650594,14.755,13.702,10.878,8.150
5.6740500,-20.5843200,15.914,15.700,12.441,8.509
5.6869203,-20.5882100,13.943,13.749,9.804,8.002
7.7914346,-25.4980938,15.767,15.520,11.727,8.405
7.7973782,-25.4905669,13.218,12.816,8.845,6.176
7.8130791,-25.4957591,16.536,16.352,12.540,8.972
7.8357111,-25.4979145,16.155,15.649,11.917,8.928
8.5903846,39.6015680,12.874,12.792,9.106,6.974
8.6053596,39.5883540,15.626,15.895,12.685,9.344
8.6642801,39.5781875,12.745,12.698,9.427,7.409
9.2387235,-63.4404738,12.267,11.504,7.814,5.105
9.2737967,-63.4445940,13.810,13.636,10.106,7.698
9.2954940,-63.4378144,14.796,13.932,10.987,8.694
9.3249437,-63.4402565,14.887,14.735,11.128,8.752
9.4132338,-9.0468450,14.242,14.108,10.431,8.740
9.4209887,-9.0564481,14.153,13.983,10.368,8.616
9.4328817,-9.0652056,15.268,15.371,11.434,8.914
9.4355803,-9.0590745,15.681,15.654,12.116,9.013
9.4697608,-25.0626407,16.211,15.930,11.973,8.420
9.4702896,-25.0906849,13.734,12.617,10.001,7.835
9.4966419,-25.0586307,14.006,13.771,10.836,8.571
12.0030333,-63.1337611,15.731,15.501,12.039,9.165
12.0458357,-63.1586872,14.958,14.660,11.103,9.133
12.2337295,-45.7585575,16.886,16.525,12.268,8.895
12.2509786,-45.7769044,17.138,16.890,12.613,9.051
12.2557973,-45.7705326,16.274,16.096,12.463,8.779
12.2792633,-18.2864403,12.961,12.788,8.780,6.947
12.2928683,-18.3079011,16.010,15.859,12.384,8.292
12.2955219,-18.2701167,13.461,13.340,9.789,8.042
12.3121891,-18.3161399,13.953,13.095,8.508,5.340
12.8522128,-23.2265676,15.988,15.940,11.909,8.829
12.8592207,-23.2134681,14.236,14.003,10.104,7.898
12.8636491,-23.2087322,14.437,14.329,12.616,8.563
12.8723865,-23.2135919,15.737,15.607,12.527,9.016
13.0510006,-1.1112685,14.099,13.940,10.066,8.291
13.2072337,-13.2928014,15.564,15.414,12.400,8.494
13.2191510,-13.2813153,15.700,15.630,12.504,8.934
13.2319947,-13.2851273,14.417,14.173,10.372,8.140
13.2536705,-13.2788242,12.934,12.834,10.990,8.298
14.3941104,-35.7387780,16.423,16.204,12.738,8.626
14.3998063,-35.7626233,14.241,14.004,10.788,8.224
14.4062437,-35.7652974,14.083,13.853,11.129,8.759
14.4219327,-35.7634393,16.598,16.713,12.341,9.151
15.5763998,-17.1928623,15.276,15.235,12.636,9.118
15.5940746,-17.1861795,14.557,14.337,10.552,8.420
16.0787005,-51.0199664,15.689,15.738,12.499,8.579
16.0928421,-51.0213270,12.925,12.827,9.438,7.500
16.1479506,-2.1351596,15.933,15.671,11.991,8.557
16.1666664,-2.1231805,14.639,14.442,10.685,8.062
16.8027591,-32.8356905,15.426,15.320,12.008,8.823
16.8177550,-32.8426812,17.060,16.957,12.620,8.933
16.8331774,-32.8315689,12.648,12.336,8.019,5.561
16.8473980,-32.8290371,11.174,10.776,6.317,3.657
18.1606402,14.3902951,14.554,14.276,10.303,8.680
18.1754025,14.3747636,15.763,15.495,12.043,8.495
18.1891142,14.3841062,13.866,13.567,9.507,7.532
18.1960407,14.3608838,12.695,12.549,9.487,7.812
20.2445180,-32.0628675,16.547,16.360,12.137,8.579
20.2525316,-32.0585086,13.845,13.664,10.159,8.199
20.2789264,-32.0504175,15.619,15.304,11.967,8.747
20.2910091,-32.0406095,14.742,14.546,11.263,8.795
