ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_petro,e_u_petro,SEX_FLAGS_u,J0378_petro,e_J0378_petro,SEX_FLAGS_J0378,J0395_petro,e_J0395_petro,SEX_FLAGS_J0395,J0410_petro,e_J0410_petro,SEX_FLAGS_J0410,J0430_petro,e_J0430_petro,SEX_FLAGS_J0430,g_petro,e_g_petro,SEX_FLAGS_g,J0515_petro,e_J0515_petro,SEX_FLAGS_J0515,r_petro,e_r_petro,SEX_FLAGS_r,J0660_petro,e_J0660_petro,SEX_FLAGS_J0660,i_petro,e_i_petro,SEX_FLAGS_i,J0861_petro,e_J0861_petro,SEX_FLAGS_J0861,z_petro,e_z_petro,SEX_FLAGS_z,zml,odds
"iDR4_3_SPLUS-s22s19_0035901","SPLUS-s22s19",27.44943693424784,-27.797112536362647,6224.4697,8447.018,2.518439,0.60292864,57.76487,1.2104433E-4,4.8033256E-5,1.1395487,1.575066,99.0,99.0,0,99.0,99.0,0,21.997581,1.2671536,0,99.0,99.0,0,21.993036,1.1344409,0,22.786655,0.7976844,0,24.809095,11.897538,0,22.023327,0.3927192,0,23.357084,1.4910722,0,99.0,99.0,0,99.0,99.0,0,24.590952,10.642464,0,0.8411667,0.20259415
"iDR4_3_SPLUS-s22s19_0036174","SPLUS-s22s19",27.445907658497582,-27.781603406808404,6245.013,8548.518,2.5883098,0.61364746,31.866817,1.227224E-4,4.744493E-5,1.9012148,4.638237,25.141703,8.294248,0,99.0,99.0,0,21.971401,1.234352,0,21.015104,0.469142,0,99.0,99.0,0,21.669462,0.28423324,0,99.0,99.0,0,22.92696,0.89203644,0,99.0,99.0,0,22.646362,0.9489129,0,22.578331,2.1046004,0,99.0,99.0,0,0.7285,0.10146304
"iDR4_3_SPLUS-s22s19_0036191","SPLUS-s22s19",27.46314802234874,-27.782074973023725,6145.1685,8545.528,1.3038406,0.23303509,-89.00416,1.443677E-4,1.1072953E-4,1.2058642,1.8968899,99.0,99.0,0,22.906736,1.5553533,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,24.594584,3.6126578,0,99.0,99.0,0,22.52343,0.5370672,0,23.19253,1.1026775,0,22.645275,0.8252658,0,20.862967,0.37769255,0,20.978937,0.3315091,0,0.8384167,0.1723998
"iDR4_3_SPLUS-s22s19_0036261","SPLUS-s22s19",27.48680647483202,-27.783649850254836,6008.152,8535.33,1.6917629,0.40890062,-21.095566,4.102756E-4,2.424554E-4,6.8151875,11.802361,20.74336,0.62202567,3,20.563053,0.901746,3,19.705452,0.66762465,3,22.402504,7.3183947,3,18.785606,0.2564494,3,19.954649,0.2551137,3,19.845844,0.53867507,3,19.76889,0.21416217,3,19.332878,0.16047654,3,19.075743,0.15562673,3,18.989773,0.33903304,3,18.843746,0.23383151,3,0.53625,0.11206756
"iDR4_3_SPLUS-s22s19_0036264","SPLUS-s22s19",27.48210579473248,-27.78224798564708,6035.3804,8544.486,1.4719746,0.3206405,42.220886,2.9608054E-4,2.0114845E-4,6.5420117,10.103771,22.888952,3.497518,1,23.055407,6.9662433,1,21.093084,1.8722523,1,99.0,99.0,1,99.0,99.0,1,21.178442,0.60989517,1,99.0,99.0,1,19.994846,0.20459187,1,20.266514,0.29301864,1,19.899282,0.25741082,1,21.309828,2.224784,1,18.989021,0.20734848,1,0.6185833,0.16368556
"iDR4_3_SPLUS-s22s19_0036332","SPLUS-s22s19",27.499687255013495,-27.784778843849015,5933.5537,8527.989,3.3814383,0.70426786,11.9413395,3.0909717E-4,9.146563E-5,1.666853,2.5358737,22.018124,0.74717367,0,99.0,99.0,0,99.0,99.0,0,21.918114,1.7311926,0,22.000717,1.830702,0,22.807684,1.3011447,0,99.0,99.0,0,22.845345,1.3402592,0,21.663925,0.5034537,0,22.011213,0.8537683,0,99.0,99.0,0,99.0,99.0,0,0.78258336,0.20057668
"iDR4_3_SPLUS-s22s19_0036399","SPLUS-s22s19",27.447659105839683,-27.78595192666657,6234.8403,8520.0625,1.2031341,0.16883737,-35.208748,3.5531036E-4,2.9530362E-4,2.8837192,7.302056,21.796469,0.9769317,0,20.454462,0.4800918,0,20.693089,0.969144,0,20.373524,0.6620184,0,20.115822,0.5096353,0,20.087023,0.16813943,0,20.053507,0.3796466,0,19.634476,0.110646814,0,19.244432,0.0866569,0,19.146442,0.09711709,0,18.672134,0.14776085,0,19.113373,0.1745785,0,0.42225,0.43757752
"iDR4_3_SPLUS-s22s19_0036433","SPLUS-s22s19",27.48973473754332,-27.78833287544081,5991.1724,8504.6875,1.5163609,0.3405264,-71.94643,6.197545E-4,4.0878775E-4,4.886875,8.953121,99.0,99.0,0,22.659224,8.7038145,0,20.806671,2.5806825,0,19.50712,0.7135056,0,18.773445,0.35512048,0,19.83056,0.31829494,0,20.43722,1.3000416,0,19.54113,0.24303132,0,19.055788,0.17363131,0,19.219019,0.24820462,0,21.788946,6.2494035,0,20.106432,1.046717,0,0.05,0.51436573
"iDR4_3_SPLUS-s22s19_0036469","SPLUS-s22s19",27.505018153465794,-27.784004558821128,5902.6855,8533.075,1.2088867,0.17279261,57.867912,3.5355374E-4,2.924516E-4,3.4780138,9.0684185,99.0,99.0,0,20.904602,0.800256,0,99.0,99.0,0,99.0,99.0,0,24.478645,31.176798,0,21.113111,0.4743879,0,99.0,99.0,0,20.435978,0.25326008,0,20.307184,0.25119954,0,19.377052,0.13151221,0,19.402199,0.31725475,0,18.97895,0.16954066,0,0.58883333,0.55166256
"iDR4_3_SPLUS-s22s19_0036526","SPLUS-s22s19",27.45829572648048,-27.796944537677206,6173.1753,8448.168,1.3762336,0.27337915,-38.79676,1.1691822E-4,8.495006E-5,1.6513088,4.591825,99.0,99.0,0,25.153536,6.258802,0,22.75681,1.1265529,0,99.0,99.0,0,25.508505,12.488865,0,22.510174,0.27642155,0,22.584188,0.6829857,0,23.130058,0.48025018,0,24.178009,1.3976917,0,23.57339,0.9850525,0,99.0,99.0,0,23.445923,1.6293873,0,0.35925,0.09604797
