col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
1237648720151511345,6381963739594231963,278,51900,87,167.51669,-1.004932,0.1098,1.05,10.126,0.078,0.669,0.035,1.305,0.146,0.171,0.042,0.102,0.03,0,1,3,2,1,167.5169583,-1.00475,97,2,11 10 04.07,-01 00 17.1,0.109852,,20.0003,19.0302,Simbad,1.1670151244919116
1237648720152035469,6381963749257908697,279,51984,201,168.64726,-0.867553,0.0692,0.56,9.833,0.075,0.408,0.06,1.432,0.195,0.322,0.089,0.218,0.069,0,1,3,2,1,168.6475417,-0.8678056,273,5,11 14 35.41,-00 52 04.1,0.069293,,19.6415,18.8591,Simbad,1.3620349273567411
1237648720152035343,6381963749257908751,279,51984,209,168.61437,-0.849992,0.069,0.91,9.562,0.087,0.124,0.088,1.046,0.222,0.221,0.058,0.15,0.041,0,1,3,0,1,168.6144167,-0.8500278,273,2,11 14 27.46,-00 51 00.1,0.06907,,19.4818,19.1495,Simbad,0.21182107657250715
1237648720152035454,6381963749257908783,279,51984,217,168.63298,-0.847092,0.0689,0.36,10.871,0.026,0.471,0.085,1.745,0.259,0.607,0.1,0.469,0.09,0,1,3,7,1,168.6330833,-0.8470556,273,3,11 14 31.94,-00 50 49.4,0.068843,,19.4781,18.7316,Simbad,0.3942537136265746
1237648720690348091,6382069219696052133,281,51614,168,171.98052,-0.472531,0.0621,0.14,9.862,0.049,0.047,0.086,1.603,0.241,0.344,0.095,0.233,0.076,0,1,3,1,1,171.9805,-0.4723056,104,4,11 27 55.32,-00 28 20.3,0.062177,,20.1101,19.7354,Simbad,0.8146278421333463
1237648720690348171,6382069219696052087,281,51614,167,171.96344,-0.470135,0.0615,0.53,10.976,0.04,0.851,0.11,2.724,0.298,1.023,0.151,0.781,0.138,0,1,3,2,1,171.9636667,-0.4697222,104,3,11 27 51.28,-00 28 11.0,0.06133,,18.8185,18.1929,Simbad,1.695417593655269
1237649919507759243,6377389699281982219,430,51877,320,27.189482,13.716748,0.0448,2.65,9.974,0.059,0.416,0.068,1.503,0.169,0.424,0.102,0.302,0.083,0,1,3,2,1,27.18925,13.7167778,38,3,01 48 45.42,+13 43 00.4,0.04482,,18.0277,17.7645,Simbad,0.8184414274487842
1237649919507759327,6377389699281982217,430,51877,310,27.181439,13.687562,0.0447,0.12,9.602,0.039,-0.614,0.067,1.238,0.22,0.174,0.051,0.11,0.037,0,1,3,1,1,27.1813333,13.6874444,38,1,01 48 43.52,+13 41 14.8,0.044701,,20.0119,19.7959,Simbad,0.5620691911104069
1237649919507759334,6377389699281982138,429,51820,111,27.184334,13.699445,0.0445,1.01,10.565,0.048,0.589,0.1,2.357,0.232,0.803,0.135,0.599,0.116,0,1,3,2,1,27.18425,13.6996111,38,2,01 48 44.22,+13 41 58.6,0.044567,,18.6938,18.0365,Simbad,0.6662378438368048
1237651190286975146,6373625034819240779,450,51908,633,139.90059,55.579445,0.0491,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,1,3,2,1,139.9003333,55.5794167,78,1,09 19 36.08,+55 34 45.9,0.049199,,18.2166,17.7439,Simbad,0.5322133111088233
1237651190286975241,6373625034819240753,451,51908,139,139.93557,55.592445,0.0748,2.24,10.17,0.04,0.002,0.064,0.736,0.141,0.364,0.081,0.301,0.071,0,1,3,7,1,139.936,55.5924722,78,2,09 19 44.64,+55 35 32.9,0.0,,19.2353,19.2044,Simbad,0.8802006594540178
1237651190286975210,6373625034819240668,451,51908,137,139.97107,55.578101,0.0477,4.58,9.141,0.065,-0.137,0.021,1.155,0.09,0.153,0.007,0.092,0.007,0,1,3,2,1,139.9712083,55.5782778,78,4,09 19 53.09,+55 34 41.8,0.047727,,18.8992,19.0725,Simbad,0.6959284906656904
1237651192436293778,6373625056294077699,452,51911,521,144.10971,59.417047,0.0405,1.77,9.386,0.058,-0.346,0.036,0.877,0.121,0.198,0.031,0.136,0.022,0,1,3,0,1,144.1087917,59.4165833,242,1,09 36 26.11,+59 24 59.7,0.040496,,18.733,18.5688,Simbad,2.3697542721801415
1237651192436293688,6373625056294077679,452,51911,523,144.13303,59.405177,0.0411,5.04,9.276,0.088,0.284,0.076,1.389,0.191,0.661,0.171,0.532,0.156,0,1,3,2,1,144.13275,59.4052222,242,3,09 36 31.86,+59 24 18.8,0.041135,,18.6016,18.3337,Simbad,0.5382218105936903
1237651192436293803,6373625056294077720,453,51915,345,144.15577,59.412873,0.0409,1.42,9.501,0.059,-0.196,0.049,1.499,0.201,0.226,0.06,0.142,0.045,0,1,3,2,1,144.1559583,59.4127778,242,5,09 36 37.43,+59 24 46.0,0.040917,,19.8282,19.0339,Simbad,0.4862504316762111
1237651271884538006,6373695391752259898,441,51868,356,123.20822,47.442677,0.0396,0.13,10.385,0.039,0.314,0.066,1.101,0.164,0.526,0.106,0.43,0.096,0,1,3,2,1,123.2086667,47.4428333,73,1,08 12 50.08,+47 26 34.2,0.03947,,17.5178,17.2133,Simbad,1.2245461774344057
1237651539243237432,6375102717243690194,488,51914,439,152.65263,64.211834,0.0395,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,1,3,2,1,152.6524583,64.2119444,84,2,10 10 36.59,+64 12 43.0,0.039536,,18.7855,18.2764,Simbad,0.4798655091215281
1237651754538893392,6381928476838988129,506,52022,535,161.06945,2.787761,0.022,0.28,10.019,0.022,-0.575,0.035,1.165,0.126,0.137,0.023,0.086,0.018,0,1,3,7,1,161.0696667,2.7880833,91,1,10 44 16.72,+02 47 17.1,0.022068,,18.7937,18.1974,Simbad,1.3976398366627756
1237651754538958936,6381928476838988121,506,52022,531,161.08863,2.79326,0.0219,0.43,10.268,0.031,-0.165,0.09,1.934,0.229,0.848,0.131,0.685,0.121,0,1,3,2,1,161.0893333,2.7936389,91,4,10 44 21.44,+02 47 37.1,0.021862,,18.4175,18.0141,Simbad,2.8732900504435435
