Group,Name,zNED,Dsep,<zgal>,ngz,NED
1,,,,,0,NED
2,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=       2,0.0178,1.497,0.018026,3,NED
3,,,,0.041719,1,NED
4,,,,,0,NED
5,,,,,0,NED
6,,,,,0,NED
7,,,,0.093258,1,NED
8,,,,0.012952,2,NED
9,,,,0.035708,2,NED
10,,,,0.051799,1,NED
11,,,,0.092951,2,NED
12,,,,0.019459,2,NED
13,,,,0.041095,1,NED
14,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=      14,0.077,0.12,0.076716,4,NED
15,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=      15,0.064,1.409,0.06422,3,NED
16,,,,0.086353,1,NED
17,,,,,0,NED
18,,,,0.159397,1,NED
19,,,,,0,NED
20,,,,0.041391,3,NED
21,,,,,0,NED
22,,,,0.1259,1,NED
23,,,,0.067744,1,NED
24,,,,0.025441,1,NED
25,,,,0.566215,1,NED
26,,,,0.035503,2,NED
27,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=      27,0.09194,1.231,0.056097,3,NED
28,,,,0.0724,3,NED
29,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=      29,0.1151,1.82,0.11502,2,NED
30,,,,,0,NED
31,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=      31,,0.333,,0,NED
32,,,,,0,NED
33,,,,0.063682,1,NED
34,,,,0.025228,1,NED
35,,,,0.060689,2,NED
36,,,,0.0427,3,NED
37,,,,,0,NED
38,,,,0.044704,5,NED
39,,,,0.062603,1,NED
40,,,,0.066799,2,NED
41,,,,,0,NED
42,,,,,0,NED
43,,,,0.060495,2,NED
44,,,,,0,NED
45,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=      45,,0.167,0.01016,1,NED
46,,,,,0,NED
47,,,,0.069815,1,NED
48,,,,0.0917,1,NED
49,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=      49,,1.098,,0,NED
50,,,,0.0626,1,NED
51,,,,,0,NED
52,,,,0.083324,1,NED
53,,,,,0,NED
54,,,,0.10668,1,NED
55,,,,,0,NED
56,,,,0.10625,2,NED
57,,,,,0,NED
58,,,,,0,NED
59,,,,,0,NED
60,,,,0.004923,1,NED
61,,,,0.030735,2,NED
62,,,,0.581999,1,NED
63,,,,,0,NED
64,,,,0.033637,3,NED
65,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=      65,0.014563,0.188,0.014563,1,NED
66,,,,0.067166,1,NED
67,,,,0.075993,1,NED
68,,,,,0,NED
69,,,,0.079085,1,NED
70,,,,,0,NED
71,,,,,0,NED
72,,,,0.03368,1,NED
73,,,,0.039471,1,NED
74,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=      74,0.0444,2.005,0.105731,4,NED
75,,,,0.029131,3,NED
76,,,,0.094889,2,NED
77,,,,0.063422,3,NED
