_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad
0.0790833,-22.5758889,1,1,00 00 18.98,-22 34 33.2,0.0,,20.2714,19.9779,Simbad
0.091125,-22.5878889,1,2,00 00 21.87,-22 35 16.4,0.0,,20.2043,19.9377,Simbad
0.1002083,-22.5888056,1,3,00 00 24.05,-22 35 19.7,0.0,,19.3392,19.222,Simbad
0.11175,-22.5958056,1,4,00 00 26.82,-22 35 44.9,0.0,,20.0727,19.8536,Simbad
0.3132083,13.1134167,2,1,00 01 15.17,+13 06 48.3,0.018646,,18.5922,18.186,Simbad
0.333625,13.1111944,2,2,00 01 20.07,+13 06 40.3,0.017899,,16.7561,16.2019,Simbad
0.35925,13.1125278,2,3,00 01 26.22,+13 06 45.1,0.017532,,17.1312,16.6332,Simbad
0.373,13.0985833,2,4,00 01 29.52,+13 05 54.9,0.0,,19.281,19.2182,Simbad
2.8349167,-53.956,3,1,00 11 20.38,-53 57 21.6,0.0,,20.2101,20.5555,Simbad
2.8379583,-53.9808889,3,2,00 11 21.11,-53 58 51.2,0.0,,20.0492,19.6655,Simbad
2.842,-53.9536944,3,3,00 11 22.08,-53 57 13.3,0.0,,19.9107,19.7047,Simbad
2.8522917,-53.9311944,3,4,00 11 24.55,-53 55 52.3,0.041719,,17.7296,17.3873,Simbad
3.3142917,-41.5711944,4,1,00 13 15.43,-41 34 16.3,0.0,,20.2139,19.7874,Simbad
3.3172917,-41.5956111,4,2,00 13 16.15,-41 35 44.2,0.0,,20.2478,19.4746,Simbad
3.3264583,-41.5731944,4,3,00 13 18.35,-41 34 23.5,0.0,,18.2981,18.3077,Simbad
3.3526667,-41.5785,4,4,00 13 24.64,-41 34 42.6,0.0,,19.8293,19.2635,Simbad
3.5176667,-22.5526944,5,1,00 14 04.24,-22 33 09.7,0.0,,20.2563,20.0467,Simbad
3.53175,-22.5631111,5,2,00 14 07.62,-22 33 47.2,0.0,,19.9924,19.2451,Simbad
3.5389583,-22.568,5,3,00 14 09.35,-22 34 04.8,0.0,,20.1528,19.8885,Simbad
3.562,-22.5728056,5,4,00 14 14.88,-22 34 22.1,0.0,,19.9073,19.6148,Simbad
4.3704583,-69.1386111,6,1,00 17 28.91,-69 08 19.0,0.0,,20.0865,19.9392,Simbad
4.4330417,-69.1416944,6,2,00 17 43.93,-69 08 30.1,0.0,,20.0133,19.7778,Simbad
4.4720417,-69.1526944,6,3,00 17 53.29,-69 09 09.7,0.0,,19.9952,19.8058,Simbad
4.4970417,-69.1615,6,4,00 17 59.29,-69 09 41.4,0.0,,19.1307,18.4181,Simbad
4.604,-42.1265,7,1,00 18 24.96,-42 07 35.4,0.0,,20.1586,19.8188,Simbad
4.6105,-42.1378056,7,2,00 18 26.52,-42 08 16.1,0.093258,,20.1218,19.7196,Simbad
4.6214167,-42.1213056,7,3,00 18 29.14,-42 07 16.7,0.0,,20.2155,20.2165,Simbad
4.644,-42.1246111,7,4,00 18 34.56,-42 07 28.6,0.0,,20.3146,19.6408,Simbad
4.654,-35.9393889,8,1,00 18 36.96,-35 56 21.8,0.013066,,17.2129,16.8825,Simbad
4.6585,-35.9458056,8,2,00 18 38.04,-35 56 44.9,0.012839,,18.2302,17.6385,Simbad
4.668375,-35.9706111,8,3,00 18 40.41,-35 58 14.2,0.0,,19.2551,19.3563,Simbad
4.6689583,-35.9548889,8,4,00 18 40.55,-35 57 17.6,0.0,,20.121,19.6526,Simbad
5.3535,38.0703333,9,1,00 21 24.84,+38 04 13.2,0.0,,17.9645,17.6715,Simbad
5.3635417,38.1004167,9,2,00 21 27.25,+38 06 01.5,0.0,,19.8713,20.364,Simbad
5.3800417,38.0771667,9,3,00 21 31.21,+38 04 37.8,0.035017,,20.0038,19.1209,Simbad
5.391875,38.0933333,9,4,00 21 34.05,+38 05 36.0,0.036399,,17.6608,17.061,Simbad
5.6534583,-20.5708889,10,1,00 22 36.83,-20 34 15.2,0.0,,20.2911,19.5066,Simbad
5.6647917,-20.5651111,10,2,00 22 39.55,-20 33 54.4,0.0,,19.9904,19.0567,Simbad
5.6745417,-20.5841944,10,3,00 22 41.89,-20 35 03.1,0.0,,19.2006,18.836,Simbad
5.6871667,-20.5885,10,4,00 22 44.92,-20 35 18.6,0.051799,,18.0196,17.6902,Simbad
7.7912083,-25.4978889,11,1,00 31 09.89,-25 29 52.4,0.0931,,20.3529,20.0032,Simbad
7.797375,-25.4906111,11,2,00 31 11.37,-25 29 26.2,0.0,,18.4966,18.1406,Simbad
7.813,-25.4953889,11,3,00 31 15.12,-25 29 43.4,0.0928,,20.3353,20.1727,Simbad
7.8355833,-25.4978889,11,4,00 31 20.54,-25 29 52.4,0.0,,19.6921,19.465,Simbad
8.5906667,39.6017222,12,1,00 34 21.76,+39 36 06.2,0.019557,,17.5042,16.9746,Simbad
8.6054167,39.5884167,12,2,00 34 25.30,+39 35 18.3,0.0,,19.2699,18.7912,Simbad
8.634625,39.5811944,12,3,00 34 32.31,+39 34 52.3,0.0,,19.3324,19.8569,Simbad
8.6642083,39.5780833,12,4,00 34 39.41,+39 34 41.1,0.01936,,19.0978,18.6027,Simbad
9.2387083,-63.4403056,13,1,00 36 57.29,-63 26 25.1,0.041095,,19.843,19.3354,Simbad
9.2738333,-63.4441111,13,2,00 37 05.72,-63 26 38.8,0.0,,18.6374,18.5981,Simbad
9.294375,-63.4378889,13,3,00 37 10.65,-63 26 16.4,0.0,,19.9565,19.8637,Simbad
9.325,-63.4403056,13,4,00 37 18.00,-63 26 25.1,0.0,,20.0987,19.8396,Simbad
9.4132917,-9.0465556,14,1,00 37 39.19,-09 02 47.6,0.077266,,18.8397,18.909,Simbad
9.4209583,-9.0561944,14,2,00 37 41.03,-09 03 22.3,0.07588,,20.0736,19.5307,Simbad
9.4325417,-9.0648611,14,3,00 37 43.81,-09 03 53.5,0.076528,,19.6591,18.8842,Simbad
9.435375,-9.0589444,14,4,00 37 44.49,-09 03 32.2,0.0,,19.5423,19.0821,Simbad
9.4694167,-25.0626944,15,1,00 37 52.66,-25 03 45.7,0.066176,,19.9278,19.538,Simbad
9.47025,-25.0906944,15,2,00 37 52.86,-25 05 26.5,0.0,,18.4833,18.0498,Simbad
9.4897083,-25.0746111,15,3,00 37 57.53,-25 04 28.6,0.063567,,19.5779,19.1035,Simbad
9.496875,-25.0581944,15,4,00 37 59.25,-25 03 29.5,0.059258,,19.9986,19.2723,Simbad
11.9835833,-63.1521944,16,1,00 47 56.06,-63 09 07.9,0.215976,,19.3863,18.8767,Simbad
12.0014167,-63.1666944,16,2,00 48 00.34,-63 10 00.1,0.086353,,19.7015,19.0103,Simbad
12.003,-63.1341944,16,3,00 48 00.72,-63 08 03.1,0.0,,20.0612,19.526,Simbad
12.0449167,-63.1585,16,4,00 48 10.78,-63 09 30.6,0.0,,19.8762,19.3314,Simbad
12.2225833,-45.7748889,17,1,00 48 53.42,-45 46 29.6,0.0,,19.8411,19.5387,Simbad
12.2334167,-45.7586111,17,2,00 48 56.02,-45 45 31.0,0.0,,20.3391,20.0642,Simbad
12.251,-45.7768056,17,3,00 49 00.24,-45 46 36.5,0.0,,19.6515,19.945,Simbad
12.2555833,-45.7705,17,4,00 49 01.34,-45 46 13.8,0.0,,19.113,18.953,Simbad
12.2792917,-18.2866944,18,1,00 49 07.03,-18 17 12.1,0.0,,18.8121,18.2868,Simbad
12.2929167,-18.3076944,18,2,00 49 10.30,-18 18 27.7,0.0,,19.9654,19.8071,Simbad
12.2952083,-18.2703056,18,3,00 49 10.85,-18 16 13.1,0.0,,19.5403,18.8994,Simbad
12.3122083,-18.3161111,18,4,00 49 14.93,-18 18 58.0,0.159397,,20.224,19.5631,Simbad
12.8520833,-23.2266944,19,1,00 51 24.50,-23 13 36.1,0.0,,19.4132,19.3993,Simbad
12.859,-23.2136944,19,2,00 51 26.16,-23 12 49.3,0.0,,19.6159,19.2864,Simbad
12.8635,-23.2088056,19,3,00 51 27.24,-23 12 31.7,0.0,,18.9977,19.3121,Simbad
12.8724167,-23.2133889,19,4,00 51 29.38,-23 12 48.2,0.0,,19.7274,19.6446,Simbad
13.0404167,-1.1191389,20,1,00 52 09.70,-01 07 08.9,0.041238,,19.5171,18.6617,Simbad
13.0429583,-1.1094444,20,2,00 52 10.31,-01 06 34.0,0.0,,19.9459,20.2035,Simbad
13.0462083,-1.1287222,20,3,00 52 11.09,-01 07 43.4,0.104819,,19.9696,18.953,Simbad
13.051125,-1.11125,20,4,00 52 12.27,-01 06 40.5,0.0413,,19.6992,19.3486,Simbad
13.2074167,-13.2931111,21,1,00 52 49.78,-13 17 35.2,0.0,,20.1394,20.1079,Simbad
13.2192083,-13.2811944,21,2,00 52 52.61,-13 16 52.3,0.0,,19.6878,19.2687,Simbad
