RA,DEC,NAME
0.0955417,-22.5871111,1
0.34475,13.1089167,2
2.8417917,-53.9554444,3
3.3276667,-41.5796389,4
3.5375833,-22.5641389,5
4.443125,-69.1486111,6
4.6199583,-42.1275556,7
4.6624583,-35.9526667,8
5.37225,38.0853056,9
5.67,-20.5771667,10
7.8092917,-25.4954444,11
8.6237083,39.5873611,12
9.283,-63.4406389,13
9.4255417,-9.0566389,14
9.4815417,-25.0715556,15
12.0082083,-63.1528889,16
12.2406667,-45.7701944,17
12.2949167,-18.2951944,18
12.86175,-23.2156389,19
13.0451667,-1.1171389,20
13.2279583,-13.2846667,21
14.4054583,-35.7571944,22
15.5714583,-17.2013889,23
16.0889167,-51.0198333,24
16.1673333,-2.1336944,25
16.8251667,-32.83475,26
18.1803333,14.3776111,27
20.2665417,-32.0529444,28
20.4132083,-38.0785556,29
21.1607083,-8.18725,30
23.1335417,-54.6343611,31
23.4275417,-69.3213889,32
23.9123333,-2.0943333,33
24.6247083,-40.0130833,34
25.5689167,-54.4324167,35
26.9006667,-30.25825,36
27.0494167,-15.12075,37
27.1867917,13.7075833,38
29.668125,-33.7573889,39
30.9626667,-31.1516667,40
33.6791667,-41.6420833,41
35.61425,-18.6029444,42
36.2202917,-27.2798889,43
37.0257917,-61.0581944,44
40.4589167,-20.8103611,45
41.469375,-5.5765278,46
43.4509167,-41.9697222,47
45.0448333,-36.3618611,48
46.5577917,-42.6678889,49
47.150375,-47.2744167,50
47.5481667,-35.0159444,51
50.0976667,-40.1931667,52
51.6352083,-42.8299167,53
52.9541667,-39.6227778,54
53.264125,-47.6635833,55
53.440625,-30.3148889,56
53.8064167,-33.4764722,57
54.5381667,-47.3976111,58
55.1354583,-48.6305556,59
55.6182083,-41.1549167,60
56.4275833,-12.2838889,61
57.732375,-38.0700833,62
60.3227083,-65.0079167,63
64.178375,0.272,64
67.545,6.9407778,65
70.5397083,-23.2447778,66
71.0974583,-21.8756944,67
73.3631667,-36.2533889,68
76.125,-18.6861944,69
79.1239583,-48.5549722,70
83.3781667,-27.6739444,71
97.2095833,-69.6947222,72
123.2194167,47.42675,73
