RA,DEC,NAME,zUV,nUV,ngal,nz,mz,priority
0.0955417,-22.5871111,1,,4,4,0,0,0
3.5375833,-22.5641389,5,,4,4,0,0,0
4.443125,-69.1486111,6,,4,3,0,0,1
4.6624583,-35.9526667,8,0.012953,4,4,2,2,0
7.8092917,-25.4954444,11,0.09295,4,4,2,2,1
9.4815417,-25.0715556,15,0.063567,4,3,3,2,0
12.86175,-23.2156389,19,,4,3,0,0,0
13.0451667,-1.1171389,20,0.0413,4,4,3,2,1
14.4054583,-35.7571944,22,0.1259,4,4,1,1,0
15.5714583,-17.2013889,23,0.067744,4,3,1,1,0
16.8251667,-32.83475,26,0.035194,4,4,4,1,1
20.2665417,-32.0529444,28,0.0723,4,4,4,3,1
20.4132083,-38.0785556,29,0.11502,4,4,2,2,0
23.4275417,-69.3213889,32,,4,3,0,0,1
24.6247083,-40.0130833,34,0.025227,4,3,2,1,0
26.9006667,-30.25825,36,0.0428,4,4,3,3,1
29.668125,-33.7573889,39,0.062604,4,4,2,1,1
30.9626667,-31.1516667,40,0.0289,4,4,2,1,1
33.6791667,-41.6420833,41,,4,3,0,0,0
43.4509167,-41.9697222,47,0.069815,4,4,1,1,0
45.0448333,-36.3618611,48,0.09375,4,3,2,2,1
46.5577917,-42.6678889,49,,4,3,0,0,0
47.150375,-47.2744167,50,,4,3,0,0,0
47.5481667,-35.0159444,51,,4,3,0,0,1
50.0976667,-40.1931667,52,,4,3,0,0,1
51.6352083,-42.8299167,53,,4,3,0,0,1
52.9541667,-39.6227778,54,0.10668,4,3,1,1,1
53.264125,-47.6635833,55,,4,3,0,0,1
53.440625,-30.3148889,56,0.1064,4,4,3,2,1
53.8064167,-33.4764722,57,,4,4,0,0,1
54.5381667,-47.3976111,58,,4,4,0,0,1
55.1354583,-48.6305556,59,,4,3,0,0,1
55.6182083,-41.1549167,60,0.004923,4,3,1,1,1
57.732375,-38.0700833,62,,4,3,0,0,1
73.3631667,-36.2533889,68,,4,4,0,0,1
97.2095833,-69.6947222,72,0.03368,4,4,1,1,0
161.7975,-2.3365833,93,0.036855,4,3,3,2,0
210.4530417,-3.1814444,149,0.067788,4,4,3,3,0
314.48475,-24.9644167,186,0.094365,4,3,1,1,1
319.3525,-35.9165556,189,0.029797,4,4,1,1,0
319.51275,-50.7521944,190,0.073594,4,3,1,1,0
322.31275,-31.0285,191,,4,4,0,0,1
330.18975,-42.8210556,194,0.067693,4,4,1,1,1
334.5145,-25.6858889,198,0.009126,4,4,4,1,1
334.67125,-24.1791944,199,0.0332,4,4,3,2,0
336.3725,-27.7033611,202,0.0509,4,4,3,2,1
338.08475,-25.4391667,204,0.0363,4,4,3,1,0
340.79825,-34.6319722,208,0.069,4,4,3,3,0
343.2135,-24.9685833,209,0.0744,4,3,3,2,0
343.97125,-55.6086111,211,,4,3,0,0,0
352.37475,-32.4328056,215,0.12445,4,4,4,4,0
352.546,-44.1920556,216,0.100413,4,3,1,1,0
355.90125,-22.454,221,,4,3,0,0,0
356.093,-26.0326389,222,0.065076,4,4,4,3,0
6.3470833,-21.6475278,228,,5,5,0,0,0
27.481875,-27.81825,230,0.088395,5,4,3,2,1
66.4151667,-64.4605,234,,5,4,0,0,1
66.7409167,-49.1194167,235,0.05828,5,5,1,1,1
69.2939167,-46.6888333,236,,5,4,0,0,1
349.18325,-41.6555833,264,,5,4,0,0,0
24.8080417,-74.4229167,267,,6,3,0,0,1
38.574625,-73.7201111,268,,6,3,0,0,1
50.254375,-33.90475,269,0.070421,6,5,4,3,1
61.54575,-36.9300833,270,,6,4,0,0,1
72.387375,-73.06925,271,0.027543,6,3,2,2,1
31.2625833,-74.8638889,277,,7,3,0,0,1
