_RAJ2000,_DEJ2000,Group,RAJ2000_1,DEJ2000_1,zUV,nUV,ngal,nz,mz,r{theta},Rij,sigmalos,Simbad,RA,DEC,NAME,STATUS,Separation_1,Groups,RAJ2000_2,DEJ2000_2,J2000,Separation
0.0955417,-22.5871111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=  1,00 00 22.93,-22 35 13.6,,4,4,0,0,0.913,,,Simbad,0.0955417,-22.5871111,1,666,0.0,SFCG1,00 00 22.93,-22 35 13.6,J2000,0.0
3.5375833,-22.5641389,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=  5,00 14 09.02,-22 33 50.9,,4,4,0,0,1.149,,,Simbad,3.5375833,-22.5641389,5,666,0.0,SFCG5,00 14 09.02,-22 33 50.9,J2000,0.0
4.443125,-69.1486111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=  6,00 17 46.35,-69 08 55.0,,4,3,0,0,1.336,,,Simbad,4.443125,-69.1486111,6,666,0.0,SFCG6,00 17 46.35,-69 08 55.0,J2000,0.0
4.6624583,-35.9526667,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=  8,00 18 38.99,-35 57 09.6,0.012953,4,4,2,2,0.888,,,Simbad,4.6624583,-35.9526667,8,666,0.0,SFCG8,00 18 38.99,-35 57 09.6,J2000,0.0
7.8092917,-25.4954444,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 11,00 31 14.23,-25 29 43.6,0.09295,4,4,2,2,1.091,,,Simbad,7.8092917,-25.4954444,11,666,0.0,SFCG11,00 31 14.23,-25 29 43.6,J2000,0.0
9.4815417,-25.0715556,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 15,00 37 55.57,-25 04 17.6,0.063567,4,3,3,2,1.152,,,Simbad,9.4815417,-25.0715556,15,666,0.0,SFCG15,00 37 55.57,-25 04 17.6,J2000,0.0
12.86175,-23.2156389,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 19,00 51 26.82,-23 12 56.3,,4,3,0,0,0.658,,,Simbad,12.86175,-23.2156389,19,666,0.0,SFCG19,00 51 26.82,-23 12 56.3,J2000,0.0
13.0451667,-1.1171389,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 20,00 52 10.84,-01 07 01.7,0.0413,4,4,3,2,0.596,,,Simbad,13.0451667,-1.1171389,20,666,0.0,SFCG20,00 52 10.84,-01 07 01.7,J2000,0.0
14.4054583,-35.7571944,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 22,00 57 37.31,-35 45 25.9,0.1259,4,4,1,1,0.948,,,Simbad,14.4054583,-35.7571944,22,666,0.0,SFCG22,00 57 37.31,-35 45 25.9,J2000,0.0
15.5714583,-17.2013889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 23,01 02 17.15,-17 12 05.0,0.067744,4,3,1,1,1.375,,,Simbad,15.5714583,-17.2013889,23,666,0.0,SFCG23,01 02 17.15,-17 12 05.0,J2000,0.0
