_RAJ2000,_DEJ2000,Group,RAJ2000,DEJ2000,zUV,nUV,ngal,nz,mz,r{theta},Rij,sigmalos,Simbad,NAME,RA,DEC,J2000,Separation
222.7092083,21.7483611,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=162,14 50 50.21,+21 44 54.1,0.059624,4,4,2,1,1.367,,,Simbad,SFCG162,14 50 50.21,+21 44 54.1,J2000,0.0
224.680625,53.8741944,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=163,14 58 43.35,+53 52 27.1,0.02624,4,3,3,1,0.95,,,Simbad,SFCG163,14 58 43.35,+53 52 27.1,J2000,0.0
226.2723333,8.7248056,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=164,15 05 05.36,+08 43 29.3,0.073959,4,4,2,2,1.11,,,Simbad,SFCG164,15 05 05.36,+08 43 29.3,J2000,0.0
226.8839167,28.8340833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=165,15 07 32.14,+28 50 02.7,0.05829,4,2,2,2,1.527,,,Simbad,SFCG165,15 07 32.14,+28 50 02.7,J2000,0.0
227.270875,61.9424722,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=166,15 09 05.01,+61 56 32.9,0.10765,4,3,2,2,0.926,,,Simbad,SFCG166,15 09 05.01,+61 56 32.9,J2000,0.0
227.771125,39.4765278,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=167,15 11 05.07,+39 28 35.5,0.057599,4,3,2,2,1.024,,,Simbad,SFCG167,15 11 05.07,+39 28 35.5,J2000,0.0
228.1649583,26.5730278,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=168,15 12 39.59,+26 34 22.9,0.033186,4,3,2,2,1.081,,,Simbad,SFCG168,15 12 39.59,+26 34 22.9,J2000,0.0
228.5784167,46.1122778,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=169,15 14 18.82,+46 06 44.2,0.036939,4,4,4,3,0.938,47.41,56.71,Simbad,SFCG169,15 14 18.82,+46 06 44.2,J2000,0.0
230.173375,30.4668056,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=170,15 20 41.61,+30 28 00.5,0.080169,4,3,3,2,1.175,,,Simbad,SFCG170,15 20 41.61,+30 28 00.5,J2000,0.0
230.946375,2.6689167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=171,15 23 47.13,+02 40 08.1,0.020865,4,4,4,1,1.115,,,Simbad,SFCG171,15 23 47.13,+02 40 08.1,J2000,0.0
