SFCG201 22 22 24.96 -61 17 01.4 J2000
SFCG202 22 25 29.40 -27 42 12.1 J2000
SFCG203 22 26 01.56 -11 07 37.4 J2000
SFCG204 22 32 20.34 -25 26 21.0 J2000
SFCG205 22 33 10.98 -60 55 21.6 J2000
SFCG206 22 39 49.92 -47 29 25.9 J2000
SFCG207 22 40 32.28 -38 22 07.5 J2000
SFCG208 22 43 11.58 -34 37 55.1 J2000
SFCG209 22 52 51.24 -24 58 06.9 J2000
SFCG210 22 54 10.68 -18 09 25.6 J2000
SFCG211 22 55 53.10 -55 36 31.0 J2000
SFCG212 23 01 29.64 -20 02 34.9 J2000
SFCG213 23 09 47.04 -48 34 04.4 J2000
SFCG214 23 27 39.60 -47 02 52.2 J2000
SFCG215 23 29 29.94 -32 25 58.1 J2000
SFCG216 23 30 11.04 -44 11 31.4 J2000
SFCG217 23 32 41.58 -13 12 32.9 J2000
SFCG218 23 35 03.00 -47 58 28.6 J2000
SFCG219 23 39 32.34 -38 40 11.4 J2000
SFCG220 23 42 53.58 -13 03 30.5 J2000
SFCG221 23 43 36.30 -22 27 14.4 J2000
SFCG222 23 44 22.32 -26 01 57.5 J2000
SFCG223 23 50 06.84 -47 10 19.7 J2000
SFCG224 23 51 19.87 +20 34 42.7 J2000
SFCG225 23 55 04.44 -50 03 46.3 J2000
SFCG226 23 59 26.28 -20 23 35.2 J2000
SFCG227 00 17 00.55 -51 03 39.1 J2000
SFCG228 00 25 23.30 -21 38 51.1 J2000
SFCG229 01 46 19.29 -07 19 53.3 J2000
SFCG230 01 49 55.65 -27 49 05.7 J2000
SFCG231 02 27 17.50 -03 53 12.9 J2000
SFCG232 02 55 09.14 -21 35 40.4 J2000
SFCG233 03 50 01.73 -15 18 06.5 J2000
SFCG234 04 25 39.64 -64 27 37.8 J2000
SFCG235 04 26 57.82 -49 07 09.9 J2000
SFCG236 04 37 10.54 -46 41 19.8 J2000
SFCG237 04 46 02.06 -62 24 14.9 J2000
SFCG238 05 01 16.04 -18 11 22.5 J2000
SFCG239 05 22 49.69 -31 57 00.7 J2000
SFCG240 09 01 02.18 +45 27 40.9 J2000
SFCG241 09 28 04.24 +26 30 21.8 J2000
SFCG242 09 36 31.95 +59 24 07.1 J2000
SFCG243 09 47 31.43 +30 24 14.2 J2000
SFCG244 09 59 40.29 +13 42 26.8 J2000
SFCG245 11 44 51.37 +19 47 14.3 J2000
SFCG246 11 53 49.02 +21 13 36.3 J2000
SFCG247 12 08 41.93 +41 05 53.4 J2000
SFCG248 13 00 06.61 +33 25 36.2 J2000
SFCG249 13 19 33.13 +14 05 29.5 J2000
SFCG250 13 31 53.57 +37 27 26.0 J2000
SFCG251 13 32 10.91 -38 53 12.3 J2000
SFCG252 13 47 20.64 -30 21 26.6 J2000
SFCG253 14 02 18.21 +07 41 11.2 J2000
SFCG254 14 03 53.82 +54 11 06.7 J2000
SFCG255 14 04 10.07 +54 15 25.6 J2000
SFCG256 14 07 24.33 +12 42 57.6 J2000
SFCG257 15 33 10.82 +12 52 46.4 J2000
SFCG258 16 13 12.55 +08 32 52.3 J2000
SFCG259 16 37 40.54 +54 58 32.4 J2000
SFCG260 17 16 34.60 +39 05 16.7 J2000
SFCG261 17 49 57.95 +68 24 19.3 J2000
SFCG262 21 27 56.34 -46 38 33.9 J2000
SFCG263 21 35 23.34 -49 56 05.1 J2000
SFCG264 23 16 43.98 -41 39 20.1 J2000
SFCG265 23 56 08.32 -17 14 21.3 J2000
SFCG266 00 25 12.46 -60 37 47.8 J2000
SFCG267 01 39 13.93 -74 25 22.5 J2000
SFCG268 02 34 17.91 -73 43 12.4 J2000
SFCG269 03 21 01.05 -33 54 17.1 J2000
SFCG270 04 06 10.98 -36 55 48.3 J2000
SFCG271 04 49 32.97 -73 04 09.3 J2000
SFCG272 08 20 04.80 +21 04 16.9 J2000
SFCG273 11 14 32.12 -00 51 08.3 J2000
SFCG274 12 21 13.66 +49 27 34.0 J2000
SFCG275 15 21 59.01 +03 33 36.4 J2000
SFCG276 21 55 28.63 -20 51 46.4 J2000
SFCG277 02 05 03.02 -74 51 50.0 J2000
SFCG278 07 41 55.88 +16 49 33.3 J2000
SFCG279 13 07 17.04 +13 38 56.8 J2000
SFCG280 23 16 44.92 +09 48 56.5 J2000
