ID,CHI2NU,XC_R,e_XC_R,YC_R,e_YC_R,RE_R,e_RE_R,MAG_R,e_MAG_R,n_R,e_n_R,AR_R,e_AR_R,PA_R,e_PA_R,XC_J0378,e_XC_J0378,YC_J0378,e_YC_J0378,RE_J0378,e_RE_J0378,MAG_J0378,e_MAG_J0378,n_J0378,e_n_J0378,AR_J0378,e_AR_J0378,PA_J0378,e_PA_J0378,XC_J0395,e_XC_J0395,YC_J0395,e_YC_J0395,RE_J0395,e_RE_J0395,MAG_J0395,e_MAG_J0395,n_J0395,e_n_J0395,AR_J0395,e_AR_J0395,PA_J0395,e_PA_J0395,XC_J0410,e_XC_J0410,YC_J0410,e_YC_J0410,RE_J0410,e_RE_J0410,MAG_J0410,e_MAG_J0410,n_J0410,e_n_J0410,AR_J0410,e_AR_J0410,PA_J0410,e_PA_J0410,XC_J0430,e_XC_J0430,YC_J0430,e_YC_J0430,RE_J0430,e_RE_J0430,MAG_J0430,e_MAG_J0430,n_J0430,e_n_J0430,AR_J0430,e_AR_J0430,PA_J0430,e_PA_J0430,XC_J0515,e_XC_J0515,YC_J0515,e_YC_J0515,RE_J0515,e_RE_J0515,MAG_J0515,e_MAG_J0515,n_J0515,e_n_J0515,AR_J0515,e_AR_J0515,PA_J0515,e_PA_J0515,XC_J0660,e_XC_J0660,YC_J0660,e_YC_J0660,RE_J0660,e_RE_J0660,MAG_J0660,e_MAG_J0660,n_J0660,e_n_J0660,AR_J0660,e_AR_J0660,PA_J0660,e_PA_J0660,XC_J0861,e_XC_J0861,YC_J0861,e_YC_J0861,RE_J0861,e_RE_J0861,MAG_J0861,e_MAG_J0861,n_J0861,e_n_J0861,AR_J0861,e_AR_J0861,PA_J0861,e_PA_J0861,XC_G,e_XC_G,YC_G,e_YC_G,RE_G,e_RE_G,MAG_G,e_MAG_G,n_G,e_n_G,AR_G,e_AR_G,PA_G,e_PA_G,XC_I,e_XC_I,YC_I,e_YC_I,RE_I,e_RE_I,MAG_I,e_MAG_I,n_I,e_n_I,AR_I,e_AR_I,PA_I,e_PA_I,XC_Z,e_XC_Z,YC_Z,e_YC_Z,RE_Z,e_RE_Z,MAG_Z,e_MAG_Z,n_Z,e_n_Z,AR_Z,e_AR_Z,PA_Z,e_PA_Z,XC_U,e_XC_U,YC_U,e_YC_U,RE_U,e_RE_U,MAG_U,e_MAG_U,n_U,e_n_U,AR_U,e_AR_U,PA_U,e_PA_U
iDR4_3_MC0011_0025647,1.14454602556551,109.9471,0.0322,166.3611,0.0273,18.457,0.0344,5.2053,0.1740,2.2363,0.0923,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,19.7023,0.1581,3.6850,0.3287,1.3220,0.2022,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,19.2058,0.1551,3.7889,0.3038,1.3845,0.1893,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,19.7396,0.1913,3.8830,0.2818,1.4411,0.1777,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,19.0628,0.1072,4.0040,0.2542,1.5138,0.1632,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,18.8614,0.0804,4.5179,0.1579,1.8229,0.1095,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,18.3976,0.043,5.4229,0.2142,2.3671,0.1062,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,18.1144,0.0764,6.6432,0.5075,3.1009,0.2469,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,18.8837,0.0416,4.2845,0.1958,1.6825,0.1318,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,18.1784,0.0484,6.0804,0.3658,2.7625,0.1755,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,18.1857,0.072,6.7776,0.5420,3.1818,0.2645,0.7314,0.0159,-65.7936,2.6755,109.9471,0.0322,166.3611,0.0273,20.0858,0.1481,3.5420,0.3636,1.2360,0.2204,0.7314,0.0159,-65.7936,2.6755
iDR4_3_MC0011_0025327,1.14454602556551,202.3735,0.0181,228.1091,0.0156,18.3085,0.0158,3.5293,0.0392,1.2106,0.0334,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,19.1189,0.084,3.3277,0.0921,1.3030,0.0915,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.7932,0.0949,3.3415,0.0869,1.2967,0.0864,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.6482,0.067,3.3540,0.0821,1.2910,0.0817,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.8449,0.0739,3.3700,0.0762,1.2836,0.0759,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.4063,0.0447,3.4382,0.0535,1.2524,0.0526,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.3211,0.0227,3.5582,0.0418,1.1974,0.0339,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.114,0.0471,3.7200,0.0922,1.1232,0.0795,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.5365,0.0216,3.4072,0.0632,1.2666,0.0628,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.1603,0.0226,3.6454,0.0649,1.1574,0.0537,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,18.2674,0.0454,3.7378,0.0991,1.1150,0.0861,0.7856,0.0091,-49.8539,2.1788,202.3735,0.0181,228.1091,0.0156,19.3738,0.0702,3.3087,0.0995,1.3117,0.0986,0.7856,0.0091,-49.8539,2.1788
iDR4_3_MC0011_0025379,1.14454602556551,208.9296,0.0686,286.3763,0.2683,18.9355,0.1116,0.7491,0.1291,4.1412,1.4417,*0.0225*,*0.0104*,12.9613,0.433,208.9296,0.0686,286.3763,0.2683,19.0911,0.0395,*0.1302*,*0.3830*,0.4965,2.6402,*0.0225*,*0.0104*,12.9613,0.433,208.9296,0.0686,286.3763,0.2683,18.9171,0.0699,*0.1725*,*0.3617*,0.7456,2.5086,*0.0225*,*0.0104*,12.9613,0.433,208.9296,0.0686,286.3763,0.2683,18.8297,0.1183,*0.2108*,*0.3426*,0.9712,2.3922,*0.0225*,*0.0104*,12.9613,0.433,208.9296,0.0686,286.3763,0.2683,18.8033,0.198,*0.2601*,*0.3182*,1.2612,2.2473,*0.0225*,*0.0104*,12.9613,0.433,208.9296,0.0686,286.3763,0.2683,18.8149,0.16,*0.4693*,*0.2198*,2.4932,1.7189,*0.0225*,*0.0104*,12.9613,0.433,208.9296,0.0686,286.3763,0.2683,19.0263,0.1083,0.8377,0.1264,4.6627,1.5035,*0.0225*,*0.0104*,12.9613,0.433,208.9296,0.0686,286.3763,0.2683,19.3052,0.1187,1.3345,0.3086,7.5880,2.7157,*0.0225*,*0.0104*,12.9613,0.433,208.9296,0.0686,286.3763,0.2683,18.7304,0.209,*0.3743*,*0.2632*,1.9336,1.9375,*0.0225*,*0.0104*,12.9613,0.433,208.9296,0.0686,286.3763,0.2683,19.0362,0.0941,1.1054,0.2028,6.2389,2.0378,*0.0225*,*0.0104*,12.9613,0.433,208.9296,0.0686,286.3763,0.2683,19.1216,0.1131,1.3892,0.3356,7.9103,2.8919,*0.0225*,*0.0104*,12.9613,0.433,208.9296,0.0686,286.3763,0.2683,19.2451,4.2726,*0.0720*,*0.4126*,0.1538,2.8259,*0.0225*,*0.0104*,12.9613,0.433
iDR4_3_MC0011_0025144,1.14454602556551,360.9523,0.0132,239.3294,0.0116,16.9517,0.0059,5.8539,0.0268,0.7012,0.0053,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,17.8252,0.0389,6.0332,0.0459,0.5403,0.0129,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,17.2336,0.0356,6.0209,0.0436,0.5513,0.0121,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,17.3215,0.031,6.0098,0.0415,0.5613,0.0114,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,17.2382,0.0267,5.9956,0.0390,0.5741,0.0104,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,16.9401,0.0181,5.9350,0.0301,0.6285,0.0069,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,16.9915,0.0095,5.8283,0.0285,0.7242,0.0061,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,16.8623,0.0203,5.6844,0.0519,0.8534,0.0148,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,17.1371,0.0071,5.9625,0.0337,0.6037,0.0084,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,16.8595,0.0086,5.7508,0.0392,0.7938,0.0104,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,16.8258,0.0167,5.6686,0.0551,0.8676,0.0159,0.8559,0.0030,-52.0654,1.0574,360.9523,0.0132,239.3294,0.0116,17.8973,0.027,6.0500,0.0492,0.5252,0.0141,0.8559,0.0030,-52.0654,1.0574
iDR4_3_MC0011_0024820,1.14454602556551,364.4946,0.0213,326.9168,0.0187,18.3774,0.0229,0.9750,0.0564,9.5,1.1178,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,19.5516,0.0882,*0.1773*,*0.0556*,7.7986,2.3655,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,19.423,0.1029,*0.2318*,*0.0508*,7.9149,2.2376,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,19.4545,0.0857,*0.2812*,*0.0468*,8.0202,2.1238,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,19.112,0.0698,*0.3447*,*0.0421*,8.1556,1.9809,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,18.7527,0.0391,0.6143,0.0338,8.7307,1.4420,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,18.3606,0.0259,1.0891,0.0671,9.7435,1.1735,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,17.9138,0.0708,1.7294,0.1344,*11.1091*,*2.3604*,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,18.8294,0.0435,*0.4918*,*0.0347*,8.4695,1.6696,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,17.989,0.0577,1.4341,0.1026,*10.4793*,*1.7039*,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,17.9073,0.071,1.7999,0.1421,*11.2595*,*2.5287*,0.6139,0.0217,2.0239,2.7906,364.4946,0.0213,326.9168,0.0187,19.5438,0.0821,*0.1023*,*0.0625*,7.6386,2.5448,0.6139,0.0217,2.0239,2.7906
iDR4_3_MC0045_0014672,1.14961687679368,418.3962,0.0126,314.5412,0.0129,16.7147,0.017,6.0930,0.0967,1.9317,0.0381,0.9632,0.0079,36.3804,8.1747,418.3962,0.0126,314.5412,0.0129,18.8951,0.1557,6.4174,0.2622,1.4994,0.1079,0.9632,0.0079,36.3804,8.1747,418.3962,0.0126,314.5412,0.0129,18.8414,0.2057,6.3953,0.2498,1.5290,0.1027,0.9632,0.0079,36.3804,8.1747,418.3962,0.0126,314.5412,0.0129,18.3524,0.1362,6.3752,0.2386,1.5557,0.0979,0.9632,0.0079,36.3804,8.1747,418.3962,0.0126,314.5412,0.0129,18.2018,0.1086,6.3494,0.2243,1.5901,0.0919,0.9632,0.0079,36.3804,8.1747,418.3962,0.0126,314.5412,0.0129,17.1277,0.038,6.2397,0.1651,1.7363,0.0668,0.9632,0.0079,36.3804,8.1747,418.3962,0.0126,314.5412,0.0129,16.5784,0.0153,6.0466,0.0822,1.9936,0.0323,0.9632,0.0079,36.3804,8.1747,418.3962,0.0126,314.5412,0.0129,16.1589,0.02,5.7861,0.1399,2.3406,0.0603,0.9632,0.0079,36.3804,8.1747,418.3962,0.0126,314.5412,0.0129,17.4654,0.0336,6.2895,0.1916,1.6699,0.0780,0.9632,0.0079,36.3804,8.1747,418.3962,0.0126,314.5412,0.0129,16.2957,0.013,5.9062,0.0888,2.1806,0.0376,0.9632,0.0079,36.3804,8.1747,418.3962,0.0126,314.5412,0.0129,16.0748,0.0201,5.7574,0.1544,2.3788,0.0666,0.9632,0.0079,36.3804,8.1747,418.3962,0.0126,314.5412,0.0129,19.1295,0.1354,6.4480,0.2794,1.4588,0.1152,0.9632,0.0079,36.3804,8.1747
iDR4_3_MC0045_0014747,1.14961687679368,272.1616,0.0278,294.6521,0.0263,17.3969,0.0454,7.5008,0.4330,3.1335,0.1529,0.8988,0.0179,70.4183,6.905,272.1616,0.0278,294.6521,0.0263,18.2901,0.1271,8.8996,1.0556,3.1942,0.3793,0.8988,0.0179,70.4183,6.905,272.1616,0.0278,294.6521,0.0263,17.946,0.1288,8.8040,1.0098,3.1901,0.3622,0.8988,0.0179,70.4183,6.905,272.1616,0.0278,294.6521,0.0263,18.0809,0.1424,8.7174,0.9684,3.1863,0.3467,0.8988,0.0179,70.4183,6.905,272.1616,0.0278,294.6521,0.0263,18.1765,0.1382,8.6061,0.9155,3.1815,0.3269,0.8988,0.0179,70.4183,6.905,272.1616,0.0278,294.6521,0.0263,17.564,0.0771,8.1333,0.6961,3.1610,0.2457,0.8988,0.0179,70.4183,6.905,272.1616,0.0278,294.6521,0.0263,17.3404,0.0413,7.3007,0.3681,3.1248,0.1331,0.8988,0.0179,70.4183,6.905,272.1616,0.0278,294.6521,0.0263,17.1138,0.0544,6.1780,0.4664,3.0761,0.1988,0.8988,0.0179,70.4183,6.905,272.1616,0.0278,294.6521,0.0263,17.89,0.0725,8.3481,0.7945,3.1703,0.2819,0.8988,0.0179,70.4183,6.905,272.1616,0.0278,294.6521,0.0263,17.0896,0.0348,6.6957,0.3175,3.0986,0.1347,0.8988,0.0179,70.4183,6.905,272.1616,0.0278,294.6521,0.0263,16.9777,0.0565,6.0543,0.5151,3.0708,0.2179,0.8988,0.0179,70.4183,6.905,272.1616,0.0278,294.6521,0.0263,18.4856,0.1171,9.0311,1.1190,3.1999,0.4031,0.8988,0.0179,70.4183,6.905
iDR4_3_MC0045_0014934,1.14961687679368,180.6661,0.0322,224.9002,0.027,18.8257,0.0286,2.8308,0.0491,0.4396,0.0782,0.2961,0.0234,-50.0354,1.16,180.6661,0.0322,224.9002,0.027,19.8428,0.1545,3.0650,0.1201,0.2074,0.2013,0.2961,0.0234,-50.0354,1.16,180.6661,0.0322,224.9002,0.027,19.5691,0.1749,3.0490,0.1146,0.2232,0.1914,0.2961,0.0234,-50.0354,1.16,180.6661,0.0322,224.9002,0.027,19.3575,0.1594,3.0345,0.1097,0.2376,0.1824,0.2961,0.0234,-50.0354,1.16,180.6661,0.0322,224.9002,0.027,19.0379,0.1056,3.0159,0.1033,0.2561,0.1710,0.2961,0.0234,-50.0354,1.16,180.6661,0.0322,224.9002,0.027,18.8576,0.0669,2.9367,0.0775,0.3346,0.1248,0.2961,0.0234,-50.0354,1.16,180.6661,0.0322,224.9002,0.027,18.7709,0.0297,2.7973,0.0437,0.4729,0.0722,0.2961,0.0234,-50.0354,1.16,180.6661,0.0322,224.9002,0.027,18.5862,0.0487,2.6094,0.0687,0.6593,0.1373,0.2961,0.0234,-50.0354,1.16,180.6661,0.0322,224.9002,0.027,19.0465,0.0426,2.9727,0.0890,0.2989,0.1452,0.2961,0.0234,-50.0354,1.16,180.6661,0.0322,224.9002,0.027,18.5524,0.0251,2.6961,0.0472,0.5733,0.0929,0.2961,0.0234,-50.0354,1.16,180.6661,0.0322,224.9002,0.027,18.4918,0.0377,2.5887,0.0749,0.6798,0.1493,0.2961,0.0234,-50.0354,1.16,180.6661,0.0322,224.9002,0.027,19.8357,0.1136,3.0870,0.1278,0.1855,0.2152,0.2961,0.0234,-50.0354,1.16
iDR4_3_MC0045_0015068,1.14961687679368,125.2257,0.0218,161.6567,0.0326,16.6379,0.0095,11.4161,0.0649,0.7444,0.0095,0.2085,0.0013,-33.7584,0.1219,125.2257,0.0218,161.6567,0.0326,17.7569,0.0533,12.4126,0.1549,0.4789,0.0270,0.2085,0.0013,-33.7584,0.1219,125.2257,0.0218,161.6567,0.0326,17.5326,0.0607,12.3445,0.1474,0.4970,0.0255,0.2085,0.0013,-33.7584,0.1219,125.2257,0.0218,161.6567,0.0326,17.3455,0.0525,12.2828,0.1407,0.5135,0.0242,0.2085,0.0013,-33.7584,0.1219,125.2257,0.0218,161.6567,0.0326,17.1602,0.0406,12.2035,0.1322,0.5346,0.0225,0.2085,0.0013,-33.7584,0.1219,125.2257,0.0218,161.6567,0.0326,16.7851,0.0227,11.8667,0.0981,0.6244,0.0157,0.2085,0.0013,-33.7584,0.1219,125.2257,0.0218,161.6567,0.0326,16.6149,0.0098,11.2735,0.0609,0.7824,0.0092,0.2085,0.0013,-33.7584,0.1219,125.2257,0.0218,161.6567,0.0326,16.3667,0.0155,10.4736,0.1079,0.9956,0.0212,0.2085,0.0013,-33.7584,0.1219,125.2257,0.0218,161.6567,0.0326,17.0812,0.0167,12.0197,0.1131,0.5836,0.0187,0.2085,0.0013,-33.7584,0.1219,125.2257,0.0218,161.6567,0.0326,16.4437,0.0091,10.8425,0.0756,0.8973,0.0141,0.2085,0.0013,-33.7584,0.1219,125.2257,0.0218,161.6567,0.0326,16.3307,0.0134,10.3855,0.1168,1.0191,0.0231,0.2085,0.0013,-33.7584,0.1219,125.2257,0.0218,161.6567,0.0326,18.0726,0.0496,12.5063,0.1652,0.4539,0.0290,0.2085,0.0013,-33.7584,0.1219
iDR4_3_MC0050_0037312,1.21635684263513,269.1126,0.0403,323.5872,0.045,16.7198,0.0171,13.6138,0.2412,1.505,0.0237,0.8752,0.0070,-2.4823,2.8255,269.1126,0.0403,323.5872,0.045,18.0858,0.1299,13.7395,0.5397,1.2224,0.0592,0.8752,0.0070,-2.4823,2.8255,269.1126,0.0403,323.5872,0.045,17.7883,0.1422,13.7309,0.5107,1.2417,0.0558,0.8752,0.0070,-2.4823,2.8255,269.1126,0.0403,323.5872,0.045,17.6769,0.1094,13.7231,0.4849,1.2592,0.0528,0.8752,0.0070,-2.4823,2.8255,269.1126,0.0403,323.5872,0.045,17.3567,0.0765,13.7131,0.4523,1.2817,0.0489,0.8752,0.0070,-2.4823,2.8255,269.1126,0.0403,323.5872,0.045,17.0653,0.0503,13.6707,0.3273,1.3772,0.0341,0.8752,0.0070,-2.4823,2.8255,269.1126,0.0403,323.5872,0.045,16.663,0.0206,13.5959,0.2491,1.5454,0.0249,0.8752,0.0070,-2.4823,2.8255,269.1126,0.0403,323.5872,0.045,16.3661,0.0454,13.4950,0.5068,1.7722,0.0565,0.8752,0.0070,-2.4823,2.8255,269.1126,0.0403,323.5872,0.045,17.1709,0.0273,13.6900,0.3807,1.3338,0.0405,0.8752,0.0070,-2.4823,2.8255,269.1126,0.0403,323.5872,0.045,16.4578,0.0242,13.5415,0.3614,1.6676,0.0392,0.8752,0.0070,-2.4823,2.8255,269.1126,0.0403,323.5872,0.045,16.4248,0.0455,13.4839,0.5443,1.7972,0.0609,0.8752,0.0070,-2.4823,2.8255,269.1126,0.0403,323.5872,0.045,18.1086,0.0873,13.7513,0.5802,1.1958,0.0639,0.8752,0.0070,-2.4823,2.8255
