ID,CHI2NU,XC_R,e_XC_R,YC_R,e_YC_R,RE_R,e_RE_R,MAG_R,e_MAG_R,n_R,e_n_R,AR_R,e_AR_R,PA_R,e_PA_R,XC_J0378,e_XC_J0378,YC_J0378,e_YC_J0378,RE_J0378,e_RE_J0378,MAG_J0378,e_MAG_J0378,n_J0378,e_n_J0378,AR_J0378,e_AR_J0378,PA_J0378,e_PA_J0378,XC_J0395,e_XC_J0395,YC_J0395,e_YC_J0395,RE_J0395,e_RE_J0395,MAG_J0395,e_MAG_J0395,n_J0395,e_n_J0395,AR_J0395,e_AR_J0395,PA_J0395,e_PA_J0395,XC_J0410,e_XC_J0410,YC_J0410,e_YC_J0410,RE_J0410,e_RE_J0410,MAG_J0410,e_MAG_J0410,n_J0410,e_n_J0410,AR_J0410,e_AR_J0410,PA_J0410,e_PA_J0410,XC_J0430,e_XC_J0430,YC_J0430,e_YC_J0430,RE_J0430,e_RE_J0430,MAG_J0430,e_MAG_J0430,n_J0430,e_n_J0430,AR_J0430,e_AR_J0430,PA_J0430,e_PA_J0430,XC_J0515,e_XC_J0515,YC_J0515,e_YC_J0515,RE_J0515,e_RE_J0515,MAG_J0515,e_MAG_J0515,n_J0515,e_n_J0515,AR_J0515,e_AR_J0515,PA_J0515,e_PA_J0515,XC_J0660,e_XC_J0660,YC_J0660,e_YC_J0660,RE_J0660,e_RE_J0660,MAG_J0660,e_MAG_J0660,n_J0660,e_n_J0660,AR_J0660,e_AR_J0660,PA_J0660,e_PA_J0660,XC_J0861,e_XC_J0861,YC_J0861,e_YC_J0861,RE_J0861,e_RE_J0861,MAG_J0861,e_MAG_J0861,n_J0861,e_n_J0861,AR_J0861,e_AR_J0861,PA_J0861,e_PA_J0861,XC_G,e_XC_G,YC_G,e_YC_G,RE_G,e_RE_G,MAG_G,e_MAG_G,n_G,e_n_G,AR_G,e_AR_G,PA_G,e_PA_G,XC_I,e_XC_I,YC_I,e_YC_I,RE_I,e_RE_I,MAG_I,e_MAG_I,n_I,e_n_I,AR_I,e_AR_I,PA_I,e_PA_I,XC_Z,e_XC_Z,YC_Z,e_YC_Z,RE_Z,e_RE_Z,MAG_Z,e_MAG_Z,n_Z,e_n_Z,AR_Z,e_AR_Z,PA_Z,e_PA_Z,XC_U,e_XC_U,YC_U,e_YC_U,RE_U,e_RE_U,MAG_U,e_MAG_U,n_U,e_n_U,AR_U,e_AR_U,PA_U,e_PA_U
iDR4_3_SPLUS-s23s18_0000653,1.90752955489361,301.9678,0.0158,189.7171,0.0431,18.2980,0.0156,5.3517,0.0527,0.5619,0.0320,0.1293,0.0049,-4.1167,0.2950,301.9678,0.0158,189.7171,0.0431,19.0605,0.0582,5.4061,0.1039,0.4387,0.0634,0.1293,0.0049,-4.1167,0.2950,301.9678,0.0158,189.7171,0.0431,18.9006,0.0834,5.4024,0.0984,0.4471,0.0600,0.1293,0.0049,-4.1167,0.2950,301.9678,0.0158,189.7171,0.0431,18.6403,0.0626,5.3990,0.0935,0.4548,0.0569,0.1293,0.0049,-4.1167,0.2950,301.9678,0.0158,189.7171,0.0431,18.7675,0.0612,5.3947,0.0874,0.4646,0.0531,0.1293,0.0049,-4.1167,0.2950,301.9678,0.0158,189.7171,0.0431,18.1451,0.0301,5.3763,0.0648,0.5062,0.0390,0.1293,0.0049,-4.1167,0.2950,301.9678,0.0158,189.7171,0.0431,18.3958,0.0186,5.3439,0.0555,0.5795,0.0340,0.1293,0.0049,-4.1167,0.2950,301.9678,0.0158,189.7171,0.0431,18.2172,0.0426,5.3002,0.1074,0.6784,0.0674,0.1293,0.0049,-4.1167,0.2950,301.9678,0.0158,189.7171,0.0431,18.5887,0.0195,5.3847,0.0743,0.4873,0.0449,0.1293,0.0049,-4.1167,0.2950,301.9678,0.0158,189.7171,0.0431,18.2518,0.0205,5.3204,0.0788,0.6328,0.0493,0.1293,0.0049,-4.1167,0.2950,301.9678,0.0158,189.7171,0.0431,18.2173,0.0347,5.2954,0.1147,0.6893,0.0720,0.1293,0.0049,-4.1167,0.2950,301.9678,0.0158,189.7171,0.0431,19.2549,0.0408,5.4112,0.1116,0.4271,0.0682,0.1293,0.0049,-4.1167,0.2950
iDR4_3_SPLUS-s23s18_0001031,1.90752955489361,197.7652,0.0237,309.5622,0.0235,17.8437,0.1325,10.2652,4.0763,*15.2491*,*2.7541*,0.5484,0.0247,49.5877,2.2918,197.7652,0.0237,309.5622,0.0235,19.0077,0.1732,3.1820,1.8673,*19.5873*,*3.9927*,0.5484,0.0247,49.5877,2.2918,197.7652,0.0237,309.5622,0.0235,18.8789,0.1810,3.6660,1.8861,*19.2908*,*3.8982*,0.5484,0.0247,49.5877,2.2918,197.7652,0.0237,309.5622,0.0235,18.3626,0.1527,4.1044,1.9303,*19.0223*,*3.8135*,0.5484,0.0247,49.5877,2.2918,197.7652,0.0237,309.5622,0.0235,18.5595,0.1489,4.6681,2.0221,*18.6771*,*3.7059*,0.5484,0.0247,49.5877,2.2918,197.7652,0.0237,309.5622,0.0235,17.5978,0.1257,7.0624,2.7319,*17.2107*,*3.2688*,0.5484,0.0247,49.5877,2.2918,197.7652,0.0237,309.5622,0.0235,17.8510,0.1373,11.2787,4.5408,*14.6283*,*2.6149*,0.5484,0.0247,49.5877,2.2918,197.7652,0.0237,309.5622,0.0235,17.5258,0.1741,16.9641,7.2751,*11.1463*,*2.1739*,0.5484,0.0247,49.5877,2.2918,197.7652,0.0237,309.5622,0.0235,18.2106,0.1255,5.9749,2.3586,*17.8767*,*3.4630*,0.5484,0.0247,49.5877,2.2918,197.7652,0.0237,309.5622,0.0235,17.6490,0.1535,14.3420,5.9957,*12.7522*,*2.2937*,0.5484,0.0247,49.5877,2.2918,197.7652,0.0237,309.5622,0.0235,17.5236,0.1769,17.5904,7.5835,*10.7627*,*2.1700*,0.5484,0.0247,49.5877,2.2918,197.7652,0.0237,309.5622,0.0235,19.2614,0.1896,2.5158,1.8942,*19.9953*,*4.1243*,0.5484,0.0247,49.5877,2.2918
iDR4_3_SPLUS-s24s18_0046552,1.16271042542296,204.7451,0.0087,273.6216,0.0059,16.4258,0.0052,4.9122,0.0229,1.3554,0.0106,0.5339,0.0020,-77.6865,0.2287,204.7451,0.0087,273.6216,0.0059,17.7989,0.0256,4.6585,0.0482,1.2282,0.0257,0.5339,0.0020,-77.6865,0.2287,204.7451,0.0087,273.6216,0.0059,17.5731,0.0336,4.6758,0.0458,1.2369,0.0244,0.5339,0.0020,-77.6865,0.2287,204.7451,0.0087,273.6216,0.0059,17.2628,0.0233,4.6915,0.0436,1.2448,0.0232,0.5339,0.0020,-77.6865,0.2287,204.7451,0.0087,273.6216,0.0059,17.0945,0.0193,4.7117,0.0409,1.2549,0.0217,0.5339,0.0020,-77.6865,0.2287,204.7451,0.0087,273.6216,0.0059,16.7169,0.0118,4.7975,0.0306,1.2979,0.0158,0.5339,0.0020,-77.6865,0.2287,204.7451,0.0087,273.6216,0.0059,16.3979,0.0055,4.9485,0.0230,1.3736,0.0103,0.5339,0.0020,-77.6865,0.2287,204.7451,0.0087,273.6216,0.0059,16.1264,0.0102,5.1522,0.0423,1.4757,0.0201,0.5339,0.0020,-77.6865,0.2287,204.7451,0.0087,273.6216,0.0059,16.9230,0.0079,4.7585,0.0350,1.2784,0.0184,0.5339,0.0020,-77.6865,0.2287,204.7451,0.0087,273.6216,0.0059,16.2180,0.0063,5.0583,0.0308,1.4286,0.0140,0.5339,0.0020,-77.6865,0.2287,204.7451,0.0087,273.6216,0.0059,16.0547,0.0092,5.1746,0.0453,1.4869,0.0217,0.5339,0.0020,-77.6865,0.2287,204.7451,0.0087,273.6216,0.0059,18.0356,0.0202,4.6346,0.0515,1.2163,0.0275,0.5339,0.0020,-77.6865,0.2287
iDR4_3_SPLUS-s24s18_0046816,1.16271042542296,294.0520,0.0070,225.1083,0.0066,15.7146,0.0045,6.3150,0.0300,1.8089,0.0096,0.9114,0.0023,83.1200,1.1693,294.0520,0.0070,225.1083,0.0066,16.6989,0.0160,6.6002,0.0634,1.7281,0.0223,0.9114,0.0023,83.1200,1.1693,294.0520,0.0070,225.1083,0.0066,16.4271,0.0195,6.5807,0.0602,1.7337,0.0212,0.9114,0.0023,83.1200,1.1693,294.0520,0.0070,225.1083,0.0066,16.2612,0.0155,6.5630,0.0574,1.7387,0.0201,0.9114,0.0023,83.1200,1.1693,294.0520,0.0070,225.1083,0.0066,16.1265,0.0134,6.5404,0.0538,1.7451,0.0187,0.9114,0.0023,83.1200,1.1693,294.0520,0.0070,225.1083,0.0066,15.8264,0.0087,6.4440,0.0402,1.7724,0.0135,0.9114,0.0023,83.1200,1.1693,294.0520,0.0070,225.1083,0.0066,15.7669,0.0049,6.2742,0.0302,1.8205,0.0098,0.9114,0.0023,83.1200,1.1693,294.0520,0.0070,225.1083,0.0066,15.5897,0.0095,6.0453,0.0557,1.8853,0.0201,0.9114,0.0023,83.1200,1.1693,294.0520,0.0070,225.1083,0.0066,16.0704,0.0065,6.4877,0.0460,1.7600,0.0158,0.9114,0.0023,83.1200,1.1693,294.0520,0.0070,225.1083,0.0066,15.6310,0.0059,6.1509,0.0406,1.8554,0.0141,0.9114,0.0023,83.1200,1.1693,294.0520,0.0070,225.1083,0.0066,15.5736,0.0091,6.0201,0.0597,1.8925,0.0216,0.9114,0.0023,83.1200,1.1693,294.0520,0.0070,225.1083,0.0066,16.8881,0.0128,6.6270,0.0678,1.7205,0.0240,0.9114,0.0023,83.1200,1.1693
iDR4_3_SPLUS-s26s32_0009220,1.16459192173968,329.1102,0.0121,236.9550,0.0131,17.1373,0.0162,4.1805,0.0707,1.7604,0.0411,0.8753,0.0096,36.1989,3.0403,329.1102,0.0121,236.9550,0.0131,18.4656,0.0824,4.0236,0.1635,1.3451,0.1084,0.8753,0.0096,36.1989,3.0403,329.1102,0.0121,236.9550,0.0131,18.1764,0.0881,4.0343,0.1553,1.3735,0.1028,0.8753,0.0096,36.1989,3.0403,329.1102,0.0121,236.9550,0.0131,17.7816,0.0663,4.0441,0.1480,1.3992,0.0979,0.8753,0.0096,36.1989,3.0403,329.1102,0.0121,236.9550,0.0131,17.7532,0.0594,4.0565,0.1387,1.4323,0.0915,0.8753,0.0096,36.1989,3.0403,329.1102,0.0121,236.9550,0.0131,17.2754,0.0544,4.1096,0.1023,1.5726,0.0659,0.8753,0.0096,36.1989,3.0403,329.1102,0.0121,236.9550,0.0131,17.1162,0.0165,4.2030,0.0690,1.8198,0.0388,0.8753,0.0096,36.1989,3.0403,329.1102,0.0121,236.9550,0.0131,16.7668,0.0280,4.3289,0.1298,2.1531,0.0791,0.8753,0.0096,36.1989,3.0403,329.1102,0.0121,236.9550,0.0131,17.6033,0.0294,4.0855,0.1181,1.5089,0.0772,0.8753,0.0096,36.1989,3.0403,329.1102,0.0121,236.9550,0.0131,16.8615,0.0184,4.2709,0.0920,1.9994,0.0533,0.8753,0.0096,36.1989,3.0403,329.1102,0.0121,236.9550,0.0131,16.7542,0.0274,4.3428,0.1399,2.1899,0.0859,0.8753,0.0096,36.1989,3.0403,329.1102,0.0121,236.9550,0.0131,18.6021,0.0651,4.0089,0.1749,1.3061,0.1161,0.8753,0.0096,36.1989,3.0403
iDR4_3_SPLUS-s26s32_0009475,1.16459192173968,185.9296,0.0136,267.6017,0.0150,16.5969,0.0113,5.7483,0.0530,1.2516,0.0135,0.8632,0.0043,-5.5327,1.7213,185.9296,0.0136,267.6017,0.0150,18.2077,0.0778,6.0590,0.1295,0.6213,0.0397,0.8632,0.0043,-5.5327,1.7213,185.9296,0.0136,267.6017,0.0150,18.2093,0.1097,6.0378,0.1232,0.6644,0.0375,0.8632,0.0043,-5.5327,1.7213,185.9296,0.0136,267.6017,0.0150,18.1009,0.1034,6.0185,0.1175,0.7034,0.0356,0.8632,0.0043,-5.5327,1.7213,185.9296,0.0136,267.6017,0.0150,17.4898,0.0569,5.9938,0.1103,0.7536,0.0331,0.8632,0.0043,-5.5327,1.7213,185.9296,0.0136,267.6017,0.0150,16.9331,0.0487,5.8888,0.0812,0.9666,0.0231,0.8632,0.0043,-5.5327,1.7213,185.9296,0.0136,267.6017,0.0150,16.5194,0.0112,5.7039,0.0498,1.3418,0.0129,0.8632,0.0043,-5.5327,1.7213,185.9296,0.0136,267.6017,0.0150,16.0523,0.0172,5.4545,0.0916,1.8477,0.0306,0.8632,0.0043,-5.5327,1.7213,185.9296,0.0136,267.6017,0.0150,17.2778,0.0232,5.9365,0.0940,0.8699,0.0275,0.8632,0.0043,-5.5327,1.7213,185.9296,0.0136,267.6017,0.0150,16.2202,0.0112,5.5695,0.0635,1.6144,0.0200,0.8632,0.0043,-5.5327,1.7213,185.9296,0.0136,267.6017,0.0150,16.0185,0.0167,5.4270,0.0992,1.9034,0.0333,0.8632,0.0043,-5.5327,1.7213,185.9296,0.0136,267.6017,0.0150,18.6888,0.0787,6.0882,0.1384,0.5621,0.0427,0.8632,0.0043,-5.5327,1.7213
iDR4_3_SPLUS-s26s32_0009027,1.16459192173968,190.2359,0.0023,169.4148,0.0028,15.2250,0.0041,0.8317,0.0090,*14.3218*,*0.2538*,0.3897,0.0032,61.9054,0.2181,190.2359,0.0023,169.4148,0.0028,17.0553,0.0184,1.3841,0.0207,9.7182,0.4202,0.3897,0.0032,61.9054,0.2181,190.2359,0.0023,169.4148,0.0028,16.9903,0.0253,1.3464,0.0199,*10.0328*,*0.4003*,0.3897,0.0032,61.9054,0.2181,190.2359,0.0023,169.4148,0.0028,16.3939,0.0141,1.3122,0.0192,*10.3177*,*0.3829*,0.3897,0.0032,61.9054,0.2181,190.2359,0.0023,169.4148,0.0028,16.2330,0.0147,1.2682,0.0182,*10.6841*,*0.3613*,0.3897,0.0032,61.9054,0.2181,190.2359,0.0023,169.4148,0.0028,15.6978,0.0139,1.0815,0.0142,*12.2402*,*0.2856*,0.3897,0.0032,61.9054,0.2181,190.2359,0.0023,169.4148,0.0028,15.1380,0.0069,0.7527,0.0075,*14.9805*,*0.2656*,0.3897,0.0032,61.9054,0.2181,190.2359,0.0023,169.4148,0.0028,15.0922,0.0092,*0.3093*,*0.0057*,*18.6756*,*0.4557*,0.3897,0.0032,61.9054,0.2181,190.2359,0.0023,169.4148,0.0028,15.7577,0.0053,1.1663,0.0160,*11.5334*,*0.3162*,0.3897,0.0032,61.9054,0.2181,190.2359,0.0023,169.4148,0.0028,15.1463,0.0041,0.5138,0.0044,*16.9715*,*0.3504*,0.3897,0.0032,61.9054,0.2181,190.2359,0.0023,169.4148,0.0028,15.0149,0.0096,*0.2605*,*0.0064*,*19.0827*,*0.4832*,0.3897,0.0032,61.9054,0.2181,190.2359,0.0023,169.4148,0.0028,17.3781,0.0152,1.4361,0.0219,9.2852,0.4484,0.3897,0.0032,61.9054,0.2181
iDR4_3_SPLUS-s26s32_0009245,1.16459192173968,266.4625,0.0192,257.9401,0.0482,18.3015,0.0217,4.4139,0.0596,0.5437,0.0323,0.2399,0.0046,5.4544,0.4660,266.4625,0.0192,257.9401,0.0482,18.8403,0.0856,4.3355,0.1392,0.5214,0.0900,0.2399,0.0046,5.4544,0.4660,266.4625,0.0192,257.9401,0.0482,18.5520,0.0902,4.3408,0.1324,0.5229,0.0854,0.2399,0.0046,5.4544,0.4660,266.4625,0.0192,257.9401,0.0482,18.8840,0.1218,4.3457,0.1262,0.5243,0.0812,0.2399,0.0046,5.4544,0.4660,266.4625,0.0192,257.9401,0.0482,18.3750,0.0693,4.3519,0.1184,0.5261,0.0759,0.2399,0.0046,5.4544,0.4660,266.4625,0.0192,257.9401,0.0482,18.4173,0.0989,4.3784,0.0876,0.5336,0.0543,0.2399,0.0046,5.4544,0.4660,266.4625,0.0192,257.9401,0.0482,18.3267,0.0238,4.4251,0.0574,0.5469,0.0298,0.2399,0.0046,5.4544,0.4660,266.4625,0.0192,257.9401,0.0482,18.0897,0.0434,4.4880,0.1057,0.5648,0.0627,0.2399,0.0046,5.4544,0.4660,266.4625,0.0192,257.9401,0.0482,18.5506,0.0340,4.3664,0.1010,0.5302,0.0639,0.2399,0.0046,5.4544,0.4660,266.4625,0.0192,257.9401,0.0482,18.1613,0.0242,4.4590,0.0747,0.5566,0.0412,0.2399,0.0046,5.4544,0.4660,266.4625,0.0192,257.9401,0.0482,18.1434,0.0398,4.4949,0.1141,0.5668,0.0684,0.2399,0.0046,5.4544,0.4660,266.4625,0.0192,257.9401,0.0482,19.2512,0.0785,4.3281,0.1488,0.5193,0.0964,0.2399,0.0046,5.4544,0.4660
iDR4_3_SPLUS-s26s32_0009502,1.16459192173968,423.1170,0.0541,323.6669,0.0579,18.4643,0.0507,4.1983,0.1843,1.4402,0.0878,0.8995,0.0287,4.0640,11.7695,423.1170,0.0541,323.6669,0.0579,20.2509,0.4063,4.1643,0.4729,1.3109,0.2691,0.8995,0.0287,4.0640,11.7695,423.1170,0.0541,323.6669,0.0579,19.0062,0.2005,4.1667,0.4493,1.3198,0.2550,0.8995,0.0287,4.0640,11.7695,423.1170,0.0541,323.6669,0.0579,19.1629,0.2309,4.1688,0.4281,1.3278,0.2423,0.8995,0.0287,4.0640,11.7695,423.1170,0.0541,323.6669,0.0579,19.1320,0.2046,4.1715,0.4012,1.3380,0.2261,0.8995,0.0287,4.0640,11.7695,423.1170,0.0541,323.6669,0.0579,18.5898,0.1676,4.1829,0.2924,1.3817,0.1595,0.8995,0.0287,4.0640,11.7695,423.1170,0.0541,323.6669,0.0579,18.4024,0.0496,4.2031,0.1715,1.4587,0.0780,0.8995,0.0287,4.0640,11.7695,423.1170,0.0541,323.6669,0.0579,18.0325,0.0839,4.2304,0.3296,1.5625,0.1796,0.8995,0.0287,4.0640,11.7695,423.1170,0.0541,323.6669,0.0579,18.8940,0.0922,4.1777,0.3404,1.3619,0.1892,0.8995,0.0287,4.0640,11.7695,423.1170,0.0541,323.6669,0.0579,18.2163,0.0539,4.2178,0.2236,1.5146,0.1128,0.8995,0.0287,4.0640,11.7695,423.1170,0.0541,323.6669,0.0579,18.1394,0.0853,4.2334,0.3581,1.5739,0.1970,0.8995,0.0287,4.0640,11.7695,423.1170,0.0541,323.6669,0.0579,20.3040,0.2835,4.1611,0.5056,1.2988,0.2886,0.8995,0.0287,4.0640,11.7695
iDR4_3_SPLUS-s26s32_0009874,1.16459192173968,103.6644,0.0074,243.2391,0.0073,15.4546,0.0084,9.1084,0.0910,2.5840,0.0206,0.9835,0.0041,-74.1461,8.8212,103.6644,0.0074,243.2391,0.0073,16.9663,0.0395,8.5382,0.2191,1.8533,0.0529,0.9835,0.0041,-74.1461,8.8212,103.6644,0.0074,243.2391,0.0073,16.3936,0.0350,8.5772,0.2080,1.9032,0.0502,0.9835,0.0041,-74.1461,8.8212,103.6644,0.0074,243.2391,0.0073,16.6059,0.0406,8.6125,0.1982,1.9484,0.0478,0.9835,0.0041,-74.1461,8.8212,103.6644,0.0074,243.2391,0.0073,16.2181,0.0290,8.6579,0.1856,2.0066,0.0447,0.9835,0.0041,-74.1461,8.8212,103.6644,0.0074,243.2391,0.0073,15.6855,0.0259,8.8506,0.1359,2.2536,0.0324,0.9835,0.0041,-74.1461,8.8212,103.6644,0.0074,243.2391,0.0073,15.4535,0.0083,9.1900,0.0878,2.6886,0.0196,0.9835,0.0041,-74.1461,8.8212,103.6644,0.0074,243.2391,0.0073,14.9829,0.0130,9.6477,0.1684,3.2751,0.0390,0.9835,0.0041,-74.1461,8.8212,103.6644,0.0074,243.2391,0.0073,15.9592,0.0156,8.7631,0.1576,2.1414,0.0378,0.9835,0.0041,-74.1461,8.8212,103.6644,0.0074,243.2391,0.0073,15.0424,0.0091,9.4366,0.1176,3.0046,0.0266,0.9835,0.0041,-74.1461,8.8212,103.6644,0.0074,243.2391,0.0073,14.9398,0.0131,9.6982,0.1819,3.3397,0.0423,0.9835,0.0041,-74.1461,8.8212,103.6644,0.0074,243.2391,0.0073,17.0118,0.0316,8.4846,0.2344,1.7846,0.0566,0.9835,0.0041,-74.1461,8.8212
