RA,DEC,NAME,STATUS
71.5085833,-62.4041389,237,666
66.4151667,-64.4605,234,666
4.443125,-69.1486111,6,666
23.4275417,-69.3213889,32,666
97.2095833,-69.6947222,72,666
38.574625,-73.7201111,268,666
72.387375,-73.06925,271,666
24.8080417,-74.4229167,267,666
31.2625833,-74.8638889,277,666
15.5714583,-17.2013889,23,666
0.0955417,-22.5871111,1,666
3.5375833,-22.5641389,5,666
6.3470833,-21.6475278,228,666
12.86175,-23.2156389,19,666
355.90125,-22.454,221,666
334.67125,-24.1791944,199,666
7.8092917,-25.4954444,11,666
9.4815417,-25.0715556,15,666
314.48475,-24.9644167,186,666
334.5145,-25.6858889,198,666
338.08475,-25.4391667,204,666
343.2135,-24.9685833,209,666
356.093,-26.0326389,222,666
27.481875,-27.81825,230,666
336.3725,-27.7033611,202,666
26.9006667,-30.25825,36,666
30.9626667,-31.1516667,40,666
53.440625,-30.3148889,56,666
322.31275,-31.0285,191,666
16.8251667,-32.83475,26,666
20.2665417,-32.0529444,28,666
352.37475,-32.4328056,215,666
29.668125,-33.7573889,39,666
50.254375,-33.90475,269,666
53.8064167,-33.4764722,57,666
340.79825,-34.6319722,208,666
47.5481667,-35.0159444,51,666
4.6624583,-35.9526667,8,666
14.4054583,-35.7571944,22,666
45.0448333,-36.3618611,48,666
73.3631667,-36.2533889,68,666
319.3525,-35.9165556,189,666
20.4132083,-38.0785556,29,666
57.732375,-38.0700833,62,666
61.54575,-36.9300833,270,666
24.6247083,-40.0130833,34,666
50.0976667,-40.1931667,52,666
52.9541667,-39.6227778,54,666
33.6791667,-41.6420833,41,666
43.4509167,-41.9697222,47,666
55.6182083,-41.1549167,60,666
349.18325,-41.6555833,264,666
46.5577917,-42.6678889,49,666
51.6352083,-42.8299167,53,666
330.18975,-42.8210556,194,666
352.546,-44.1920556,216,666
47.150375,-47.2744167,50,666
54.5381667,-47.3976111,58,666
69.2939167,-46.6888333,236,666
53.264125,-47.6635833,55,666
55.1354583,-48.6305556,59,666
66.7409167,-49.1194167,235,666
314.67075,-48.5573889,187,666
319.51275,-50.7521944,190,666
343.97125,-55.6086111,211,666
161.7975,-2.3365833,93,666
210.4530417,-3.1814444,149,666
13.0451667,-1.1171389,20,666
