ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_auto,e_u_auto,SEX_FLAGS_u,J0378_auto,e_J0378_auto,SEX_FLAGS_J0378,J0395_auto,e_J0395_auto,SEX_FLAGS_J0395,J0410_auto,e_J0410_auto,SEX_FLAGS_J0410,J0430_auto,e_J0430_auto,SEX_FLAGS_J0430,g_auto,e_g_auto,SEX_FLAGS_g,J0515_auto,e_J0515_auto,SEX_FLAGS_J0515,r_auto,e_r_auto,SEX_FLAGS_r,J0660_auto,e_J0660_auto,SEX_FLAGS_J0660,i_auto,e_i_auto,SEX_FLAGS_i,J0861_auto,e_J0861_auto,SEX_FLAGS_J0861,z_auto,e_z_auto,SEX_FLAGS_z,zml,odds
"iDR4_3_MC0120_0006125","MC0120",38.572298611574325,-73.8171699684495,4264.4624,3166.5562,1.0719149,0.067090094,-69.291405,2.7406093E-4,2.5558157E-4,1.3271347,3.3920417,18.339787,0.020514837,0,18.07137,0.026275365,0,17.946651,0.03556827,0,17.3697,0.020818584,0,17.31309,0.019223312,0,16.886057,0.0058742915,0,16.740105,0.010861182,0,16.333405,0.0041272156,0,16.2747,0.004672147,0,16.14854,0.004617541,0,16.088509,0.009163941,0,16.088808,0.0072831847,0,0.03025,0.35651934
"iDR4_3_MC0120_0006206","MC0120",38.65938405634742,-73.81566465590655,4105.4785,3174.4885,1.045681,0.043685377,-83.922806,1.4084938E-4,1.3468438E-4,1.9716994,5.5315237,22.200243,0.572877,0,23.802496,4.109141,0,21.663513,0.9108018,0,21.58722,0.7419608,0,21.245272,0.51588815,0,21.928637,0.3103425,0,21.18665,0.3804499,0,20.692827,0.120116,0,20.96127,0.17784876,0,20.407948,0.16414191,0,99.0,99.0,0,20.31642,0.30842388,0,0.38983333,0.10723796
"iDR4_3_MC0120_0006250","MC0120",38.673438589019185,-73.81320566766037,4079.6287,3190.2515,1.017474,0.017173946,-28.768618,1.4355354E-4,1.4110426E-4,1.2394111,2.862151,23.000233,0.8801477,0,99.0,99.0,0,22.770777,1.8416482,0,99.0,99.0,0,21.799223,0.6284847,0,22.050423,0.2528535,0,22.03745,0.6019913,0,21.063688,0.12361103,0,20.438646,0.082679294,0,20.092327,0.09049783,0,19.592052,0.1388108,0,19.934942,0.15869324,0,0.6846667,0.076058865
"iDR4_3_MC0120_0006252","MC0120",38.6952710423523,-73.81319013100442,4039.7925,3189.8257,1.1479987,0.12891883,48.05869,1.2008055E-4,1.0462004E-4,1.2457612,2.431052,22.766405,0.71428025,0,22.086367,0.62637275,0,23.50449,3.628145,0,20.895021,0.2933022,0,21.35296,0.42160353,0,21.753551,0.19651112,0,21.373554,0.33424824,0,21.565245,0.19730653,0,21.370977,0.19187687,0,20.913948,0.19321276,0,99.0,99.0,0,21.047422,0.44614202,0,0.17725,0.06488534
"iDR4_3_MC0120_0006256","MC0120",38.63512076035844,-73.81329003838493,4149.55,3190.5894,1.1130643,0.10157931,-71.40534,1.6191171E-4,1.4537682E-4,1.1888994,2.5713282,23.26457,1.1429998,0,25.781288,18.968977,0,26.80689,76.78458,0,22.978365,1.9866753,0,22.386456,1.0991684,0,22.171358,0.28954875,0,22.1923,0.7119155,0,20.527147,0.07850395,0,20.22567,0.0701798,0,19.687054,0.06440189,0,19.125849,0.093200065,0,19.225302,0.0851272,0,0.14641666,0.24686246
"iDR4_3_MC0120_0006261","MC0120",38.643063478806766,-73.81305149909731,4135.038,3191.9697,1.0513234,0.048817992,-42.5794,1.2208962E-4,1.16138035E-4,1.3882787,3.0519085,21.908789,0.32257557,0,22.234388,0.71234316,0,21.333078,0.4889715,0,21.116901,0.35177693,0,21.645016,0.5427811,0,21.487637,0.15246157,0,21.852005,0.50686765,0,21.363503,0.1617842,0,21.389505,0.19238211,0,21.201075,0.247008,0,21.329912,0.67779154,0,21.671074,0.7774125,0,0.7040833,0.077278726
"iDR4_3_MC0120_0006300","MC0120",38.69700130551804,-73.80935300207561,4036.2983,3214.898,1.0645027,0.0605942,-57.22393,2.447934E-4,2.2989394E-4,1.3318398,3.3142743,19.167883,0.03785416,0,18.584501,0.037811913,0,18.640203,0.059831664,0,18.186203,0.036946952,0,18.031336,0.031371787,0,17.698149,0.009460423,0,17.44758,0.016756335,0,17.095028,0.006471024,0,17.035622,0.007281445,0,16.849821,0.007438977,0,16.788498,0.015455535,0,16.786736,0.0124862855,0,0.08875,0.2669184
"iDR4_3_MC0120_0006313","MC0120",38.720171629038965,-73.81044394876955,3994.1113,3207.1807,1.3201921,0.24253446,-61.820774,1.4744492E-4,1.1148308E-4,1.923709,4.862522,21.887272,0.4288545,0,99.0,99.0,0,99.0,99.0,0,23.992971,6.7726665,0,24.121355,7.274013,0,22.640196,0.59769076,0,22.036076,0.8331169,0,20.979399,0.15655306,0,21.097538,0.20275533,0,20.420383,0.1673387,0,19.577969,0.1890629,0,19.55745,0.15505311,0,0.5125833,0.27056143
"iDR4_3_MC0120_0006314","MC0120",38.60366497091737,-73.81089069625817,4206.7573,3206.9907,1.6077466,0.3780114,-89.7595,1.0527345E-4,6.548624E-5,1.8043048,4.1346693,99.0,99.0,0,99.0,99.0,0,21.593805,0.62745607,16,99.0,99.0,0,99.0,99.0,16,23.185648,0.72246456,0,22.872541,1.3091108,0,21.765427,0.23587976,0,20.82077,0.119148396,0,20.681452,0.15623704,0,20.436623,0.3036653,0,20.047508,0.17792724,0,0.60866666,0.11121303
"iDR4_3_MC0120_0006355","MC0120",38.659309906624,-73.80863643887486,4105.025,3220.4915,1.1965873,0.16429001,-41.663097,1.882695E-4,1.573864E-4,1.8639607,5.6245646,22.26875,0.6489598,0,20.982523,0.32743087,0,24.080416,8.861581,0,21.740194,0.9061326,0,21.34483,0.5993655,0,21.04724,0.14712687,0,20.598621,0.23472193,0,20.256014,0.085819855,0,20.206287,0.09531749,0,19.656063,0.087669015,0,19.290295,0.15229401,0,19.848999,0.21272263,0,0.44675,0.10788179
"iDR4_3_MC0120_0006364","MC0120",38.71390924873745,-73.8084163974525,4005.3574,3220.609,1.1307235,0.11561042,-47.846725,1.6473037E-4,1.456661E-4,2.433656,5.350171,99.0,99.0,0,99.0,99.0,0,20.827734,0.5167738,0,23.356728,4.618376,0,21.519308,0.8134804,0,21.978064,0.39554238,0,99.0,99.0,0,20.448381,0.11723117,0,20.511667,0.14421073,0,19.694342,0.10484336,0,19.412815,0.19766194,0,19.258139,0.14339161,0,0.51375,0.20003484
"iDR4_3_MC0120_0006409","MC0120",38.69093795391176,-73.80452348514463,4046.9429,3246.6562,1.1131271,0.10162997,-72.02405,2.4414482E-4,2.1919148E-4,1.3571043,3.2500305,19.142923,0.036806177,0,18.636208,0.038970586,0,18.761423,0.065746754,0,18.178001,0.036431458,0,18.10283,0.03311485,0,17.72947,0.009621839,0,17.584648,0.018333502,0,17.20121,0.0069092815,0,17.137674,0.0077576274,0,17.00744,0.00832624,0,16.985584,0.018106574,0,16.931261,0.014032816,0,0.027166666,0.22633253
