_RAJ2000,_DEJ2000,Group,RAJ2000,DEJ2000,zUV,nUV,ngal,nz,mz,r{theta},Rij,sigmalos,Simbad,NAME
0.0955417,-22.5871111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=  1,00 00 22.93,-22 35 13.6,,4,4,0,0,0.913,,,Simbad,1
0.34475,13.1089167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=  2,00 01 22.74,+13 06 32.1,0.017899,4,4,3,3,1.611,32.94,193.85,Simbad,2
2.8417917,-53.9554444,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=  3,00 11 22.03,-53 57 19.6,0.041719,4,3,1,1,1.249,,,Simbad,3
3.3276667,-41.5796389,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=  4,00 13 18.64,-41 34 46.7,,4,3,0,0,1.027,,,Simbad,4
3.5375833,-22.5641389,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=  5,00 14 09.02,-22 33 50.9,,4,4,0,0,1.149,,,Simbad,5
4.443125,-69.1486111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=  6,00 17 46.35,-69 08 55.0,,4,3,0,0,1.336,,,Simbad,6
4.6199583,-42.1275556,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=  7,00 18 28.79,-42 07 39.2,0.093258,4,3,1,1,0.891,,,Simbad,7
4.6624583,-35.9526667,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=  8,00 18 38.99,-35 57 09.6,0.012953,4,4,2,2,0.888,,,Simbad,8
5.37225,38.0853056,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=  9,00 21 29.34,+38 05 07.1,0.035708,4,3,2,2,1.161,,,Simbad,9
5.67,-20.5771667,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 10,00 22 40.80,-20 34 37.8,0.051799,4,3,1,1,1.041,,,Simbad,10
