RA,DEC,NAME,STATUS
71.5085833,-62.4041389,237,666
97.2095833,-69.6947222,72,666
15.5714583,-17.2013889,23,666
0.0955417,-22.5871111,1,666
3.5375833,-22.5641389,5,666
6.3470833,-21.6475278,228,666
12.86175,-23.2156389,19,666
355.90125,-22.454,221,666
334.67125,-24.1791944,199,666
7.8092917,-25.4954444,11,666
9.4815417,-25.0715556,15,666
338.08475,-25.4391667,204,666
343.2135,-24.9685833,209,666
356.093,-26.0326389,222,666
352.37475,-32.4328056,215,666
340.79825,-34.6319722,208,666
4.6624583,-35.9526667,8,666
14.4054583,-35.7571944,22,666
319.3525,-35.9165556,189,666
20.4132083,-38.0785556,29,666
24.6247083,-40.0130833,34,666
33.6791667,-41.6420833,41,666
43.4509167,-41.9697222,47,666
349.18325,-41.6555833,264,666
46.5577917,-42.6678889,49,666
330.18975,-42.8210556,194,666
352.546,-44.1920556,216,666
47.150375,-47.2744167,50,666
319.51275,-50.7521944,190,666
343.97125,-55.6086111,211,666
161.7975,-2.3365833,93,666
210.4530417,-3.1814444,149,666

