RA,DEC,NAME,STATUS
332.132,-57.2888333,196,666
23.1335417,-54.6343611,31,666
25.5689167,-54.4324167,35,666
2.8417917,-53.9554444,3,666
16.0889167,-51.0198333,24,666
4.2522917,-51.0608611,227,666
358.7685,-50.0628611,225,666
323.84725,-49.93475,263,666
347.446,-48.5678889,213,666
339.958,-47.4905278,206,666
351.915,-47.0478333,214,666
353.7625,-47.9746111,218,666
357.5285,-47.1721389,223,666
321.98475,-46.64275,262,666
12.2406667,-45.7701944,17,666
4.6199583,-42.1275556,7,666
3.3276667,-41.5796389,4,666
340.1345,-38.36875,207,666
354.88475,-38.6698333,219,666
330.62375,-22.8943333,195,666
5.67,-20.5771667,10,666
326.1695,-20.0708889,192,666
345.3735,-20.0430278,212,666
359.8595,-20.3931111,226,666
328.8692917,-20.8628889,276,666
12.2949167,-18.2951944,18,666
343.5445,-18.1571111,210,666
359.0346667,-17.23925,265,666
353.17325,-13.2091389,217,666
355.72325,-13.0584722,220,666
336.5065,-11.1270556,203,666
169.9204167,-6.509,101,666
167.52375,-1.01125,97,666
