_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad
14.394,-35.7386111,22,1,00 57 34.56,-35 44 19.0,0.0,,20.3347,20.1305,Simbad
14.3999167,-35.7621944,22,2,00 57 35.98,-35 45 43.9,0.0,,19.9687,19.1409,Simbad
14.4062083,-35.765,22,3,00 57 37.49,-35 45 54.0,0.1259,,20.0779,19.9097,Simbad
14.4217917,-35.763,22,4,00 57 41.23,-35 45 46.8,0.0,,20.2451,20.1968,Simbad
15.5547083,-17.2218056,23,1,01 02 13.13,-17 13 18.5,0.0,,19.5694,18.7211,Simbad
15.561,-17.2048889,23,2,01 02 14.64,-17 12 17.6,0.067744,,18.8116,18.6534,Simbad
15.5762083,-17.193,23,3,01 02 18.29,-17 11 34.8,0.0,,20.0911,20.0752,Simbad
15.5939167,-17.1858889,23,4,01 02 22.54,-17 11 09.2,0.0,,20.1855,19.3013,Simbad
43.4315,-41.9773056,47,1,02 53 43.56,-41 58 38.3,0.0,,20.1271,19.9749,Simbad
43.4530833,-41.9665,47,2,02 53 48.74,-41 57 59.4,0.0,,20.0928,20.1872,Simbad
43.4537917,-41.9556944,47,3,02 53 48.91,-41 57 20.5,0.0,,19.7993,19.5954,Simbad
43.4652917,-41.9793889,47,4,02 53 51.67,-41 58 45.8,0.069815,,19.5092,19.0413,Simbad
52.9395833,-39.6141944,54,1,03 31 45.50,-39 36 51.1,0.0,,20.2266,20.073,Simbad
52.9467917,-39.6316111,54,2,03 31 47.23,-39 37 53.8,0.10668,,19.8661,19.5581,Simbad
52.9580833,-39.6315,54,3,03 31 49.94,-39 37 53.4,0.0,,20.3219,21.4014,Simbad
52.9720833,-39.6138056,54,4,03 31 53.30,-39 36 49.7,0.0,,18.6888,18.3777,Simbad
55.6107917,-41.1556944,60,1,03 42 26.59,-41 09 20.5,0.0,,20.0337,19.9131,Simbad
55.6112917,-41.1446111,60,2,03 42 26.71,-41 08 40.6,0.004923,,17.0741,16.6998,Simbad
55.6192917,-41.17,60,3,03 42 28.63,-41 10 12.0,0.0,,19.9046,18.1355,Simbad
55.6315,-41.1493889,60,4,03 42 31.56,-41 08 57.8,0.0,,20.0069,19.6158,Simbad
97.1695833,-69.6801111,72,1,06 28 40.70,-69 40 48.4,0.0,,19.315,18.3971,Simbad
97.2225,-69.7158056,72,2,06 28 53.40,-69 42 56.9,0.0,,16.8821,16.4117,Simbad
97.2229167,-69.6971944,72,3,06 28 53.50,-69 41 49.9,0.03368,,17.1027,16.566,Simbad
97.2234167,-69.6858056,72,4,06 28 53.62,-69 41 08.9,0.0,,18.1227,17.5059,Simbad
314.473,-24.9623889,186,1,20 57 53.52,-24 57 44.6,0.0,,19.5318,19.1392,Simbad
314.482,-24.9843889,186,2,20 57 55.68,-24 59 03.8,0.0,,18.628,18.7564,Simbad
314.49,-24.948,186,3,20 57 57.60,-24 56 52.8,0.094365,,19.6399,19.688,Simbad
314.494,-24.9628889,186,4,20 57 58.56,-24 57 46.4,0.0,,19.6074,19.1857,Simbad
319.342,-35.9005,189,1,21 17 22.08,-35 54 01.8,0.029797,,17.0391,16.6342,Simbad
319.35,-35.9218889,189,2,21 17 24.00,-35 55 18.8,0.0,,19.0916,18.8092,Simbad
319.356,-35.9178889,189,3,21 17 25.44,-35 55 04.4,0.0,,19.1945,18.552,Simbad
319.362,-35.9258889,189,4,21 17 26.88,-35 55 33.2,0.0,,19.0757,18.3641,Simbad
319.492,-50.7455,190,1,21 17 58.08,-50 44 43.8,0.0,,19.7529,18.4345,Simbad
319.505,-50.7391111,190,2,21 18 01.20,-50 44 20.8,0.0,,19.8835,19.2635,Simbad
319.51,-50.767,190,3,21 18 02.40,-50 46 01.2,0.0,,18.5054,18.192,Simbad
319.544,-50.7571944,190,4,21 18 10.56,-50 45 25.9,0.073594,,19.7309,19.4853,Simbad
330.168,-42.8186111,194,1,22 00 40.32,-42 49 07.0,0.0,,19.9012,19.4095,Simbad
330.181,-42.8215,194,2,22 00 43.44,-42 49 17.4,0.067693,,20.2702,19.2984,Simbad
330.199,-42.8155,194,3,22 00 47.76,-42 48 55.8,0.0,,20.3589,20.2326,Simbad
330.211,-42.8286111,194,4,22 00 50.64,-42 49 43.0,0.0,,19.2713,18.8766,Simbad
352.529,-44.1966111,216,1,23 30 06.96,-44 11 47.8,0.0,,18.9379,18.2466,Simbad
352.534,-44.2056944,216,2,23 30 08.16,-44 12 20.5,0.100413,,19.6806,18.9677,Simbad
352.559,-44.1768889,216,3,23 30 14.16,-44 10 36.8,0.0,,20.0465,19.8673,Simbad
352.562,-44.189,216,4,23 30 14.88,-44 11 20.4,0.0,,20.3564,20.0876,Simbad
66.7155833,-49.1161944,235,1,04 26 51.74,-49 06 58.3,0.0,,18.5235,18.163,Simbad
66.7280833,-49.1176667,235,2,04 26 54.74,-49 07 03.6,0.0,,19.9712,19.6633,Simbad
66.7312917,-49.1246944,235,3,04 26 55.51,-49 07 28.9,0.0,,18.8249,18.3212,Simbad
66.7572917,-49.1238333,235,4,04 27 01.75,-49 07 25.8,0.0,,18.7048,18.807,Simbad
66.7724167,-49.1146389,235,5,04 27 05.38,-49 06 52.7,0.05828,,17.6725,17.0204,Simbad
