Group RA Dec zUV nUV ngal nz mz r_theta_ Rij sigmalos Simbad
2 0.34475 13.108916666666666 0.017899 4 4 3 3 1.611 32.94 193.85 Simbad
3 2.8417916666666665 -53.955444444444446 0.041719 4 3 1 1 1.249 0.0 0.0 Simbad
7 4.619958333333332 -42.12755555555555 0.093258 4 3 1 1 0.891 0.0 0.0 Simbad
8 4.6624583333333325 -35.95266666666667 0.012953 4 4 2 2 0.888 0.0 0.0 Simbad
9 5.372249999999999 38.08530555555556 0.035708 4 3 2 2 1.161 0.0 0.0 Simbad
10 5.669999999999998 -20.577166666666667 0.051799 4 3 1 1 1.041 0.0 0.0 Simbad
11 7.809291666666667 -25.495444444444445 0.09295 4 4 2 2 1.091 0.0 0.0 Simbad
12 8.623708333333331 39.587361111111115 0.019458 4 2 2 2 1.634 0.0 0.0 Simbad
13 9.283 -63.440638888888884 0.041095 4 3 1 1 0.984 0.0 0.0 Simbad
14 9.425541666666666 -9.05663888888889 0.076528 4 4 3 3 0.761 74.83 228.04 Simbad
15 9.481541666666665 -25.071555555555555 0.063567 4 3 3 2 1.152 0.0 0.0 Simbad
16 12.008208333333332 -63.15288888888889 0.086353 4 4 2 1 1.087 0.0 0.0 Simbad
18 12.294916666666664 -18.295194444444448 0.159397 4 3 1 1 1.461 0.0 0.0 Simbad
20 13.045166666666665 -1.117138888888889 0.0413 4 4 3 2 0.596 0.0 0.0 Simbad
22 14.40545833333333 -35.757194444444444 0.1259 4 4 1 1 0.948 0.0 0.0 Simbad
23 15.571458333333332 -17.20138888888889 0.067744 4 3 1 1 1.375 0.0 0.0 Simbad
24 16.088916666666663 -51.01983333333333 0.062667 4 4 3 1 1.018 0.0 0.0 Simbad
26 16.825166666666664 -32.83475 0.035194 4 4 4 1 1.033 0.0 0.0 Simbad
27 18.18033333333333 14.377611111111111 0.093823 4 4 3 2 1.19 0.0 0.0 Simbad
28 20.266541666666665 -32.05294444444444 0.0723 4 4 4 3 1.253 117.23 66.07 Simbad
29 20.413208333333333 -38.07855555555556 0.11502 4 4 2 2 1.364 0.0 0.0 Simbad
34 24.62470833333333 -40.013083333333334 0.025227 4 3 2 1 1.281 0.0 0.0 Simbad
35 25.568916666666663 -54.43241666666666 0.060688 4 3 2 2 1.011 0.0 0.0 Simbad
36 26.900666666666663 -30.25825 0.0428 4 4 3 3 0.734 73.47 50.96 Simbad
38 27.186791666666664 13.707583333333332 0.04476 4 4 4 3 1.085 56.43 42.89 Simbad
39 29.668124999999996 -33.75738888888889 0.062604 4 4 2 1 0.966 0.0 0.0 Simbad
40 30.96266666666666 -31.151666666666664 0.0289 4 4 2 1 0.798 0.0 0.0 Simbad
43 36.22029166666666 -27.279888888888888 0.060526 4 4 3 2 1.1 0.0 0.0 Simbad
45 40.45891666666667 -20.810361111111114 0.01016 4 4 2 1 0.714 0.0 0.0 Simbad
47 43.45091666666666 -41.969722222222224 0.069815 4 4 1 1 0.909 0.0 0.0 Simbad
48 45.04483333333333 -36.36186111111111 0.09375 4 3 2 2 0.819 0.0 0.0 Simbad
54 52.95416666666666 -39.62277777777778 0.10668 4 3 1 1 0.894 0.0 0.0 Simbad
56 53.44062499999999 -30.31488888888889 0.1064 4 4 3 2 0.884 0.0 0.0 Simbad
60 55.61820833333333 -41.154916666666665 0.004923 4 3 1 1 0.793 0.0 0.0 Simbad
61 56.427583333333324 -12.283888888888889 0.030718 4 3 1 1 1.145 0.0 0.0 Simbad
64 64.178375 0.272 0.03355 4 2 2 2 1.124 0.0 0.0 Simbad
65 67.54499999999999 6.940777777777778 0.014563 4 3 1 1 0.376 0.0 0.0 Simbad
66 70.53970833333334 -23.244777777777777 0.067166 4 4 1 1 0.773 0.0 0.0 Simbad
67 71.09745833333332 -21.875694444444445 0.075992 4 4 1 1 1.296 0.0 0.0 Simbad
69 76.125 -18.686194444444446 0.079085 4 3 1 1 1.478 0.0 0.0 Simbad
72 97.20958333333331 -69.69472222222223 0.03368 4 4 1 1 1.096 0.0 0.0 Simbad
73 123.21941666666663 47.42675 0.03947 4 3 1 1 0.997 0.0 0.0 Simbad
74 128.680125 15.784555555555555 0.106012 4 4 4 3 1.442 162.81 105.53 Simbad
75 129.71895833333332 1.4 0.029158 4 3 2 2 0.904 0.0 0.0 Simbad
76 134.31379166666665 39.260666666666665 0.028614 4 3 2 1 1.306 0.0 0.0 Simbad
77 137.16854166666664 30.887305555555557 0.063449 4 3 3 3 0.613 79.51 144.57 Simbad
78 139.939 55.57961111111111 0.048463 4 3 2 2 1.167 0.0 0.0 Simbad
79 143.03725 15.99772222222222 0.040148 4 4 3 3 1.194 68.91 78.33 Simbad
80 145.44387499999996 37.11263888888889 0.050991 4 3 2 1 1.306 0.0 0.0 Simbad
81 146.13887499999998 28.539166666666667 0.052644 4 4 2 1 0.959 0.0 0.0 Simbad
82 151.71295833333332 53.437916666666666 0.045749 4 2 2 2 1.306 0.0 0.0 Simbad
83 152.03391666666664 42.946416666666664 0.073963 4 3 1 1 1.382 0.0 0.0 Simbad
84 152.654375 64.21383333333334 0.039536 4 3 1 1 0.878 0.0 0.0 Simbad
85 153.2542083333333 17.04136111111111 0.022057 4 4 4 3 1.077 32.78 17.68 Simbad
86 154.61591666666666 49.85030555555556 0.140841 4 4 2 1 1.024 0.0 0.0 Simbad
87 155.62604166666665 36.585750000000004 0.026795 4 4 3 2 0.921 0.0 0.0 Simbad
88 155.94429166666666 33.41338888888889 0.11571 4 4 3 2 0.876 0.0 0.0 Simbad
89 157.026625 31.215999999999998 0.044971 4 3 1 1 1.065 0.0 0.0 Simbad
90 160.1052083333333 24.229555555555553 0.043596 4 4 3 2 0.705 0.0 0.0 Simbad
91 161.07941666666665 2.797333333333333 0.021994 4 4 4 3 0.719 26.92 35.7 Simbad
92 161.58858333333333 43.024 0.074186 4 4 3 3 0.801 88.85 74.37 Simbad
