Group,RAJ2000,DEJ2000
194a,22:00:40.32,-42:49:07.0
194b,22:00:43.44,-42:49:17.4
72a,06:28:40.70,-69:40:48.4
72b,06:28:53.40,-69:42:56.9
235a,04:26:51.74,-49:06:58.3
235b,04:26:54.74,-49:07:03.6
47a,02:53:43.56,-41:58:38.3
47b,02:53:48.74,-41:57:59.4
23a,01:02:13.13,-17:13:18.5
23b,01:02:14.64,-17:12:17.6
54a,03:31:45.50,-39:36:51.1
54b,03:31:47.23,-39:37:53.8
22a,00:57:34.56,-35:44:19.0
22b,00:57:35.98,-35:45:43.9
216a,23:30:06.96,-44:11:47.8
216b,23:30:08.16,-44:12:20.5
186a,20:57:53.52,-24:57:44.6
186b,20:57:55.68,-24:59:03.8
60a,03:42:26.59,-41:09:20.5
60b,03:42:26.71,-41:08:40.6
189a,21:17:22.08,-35:54:01.8
189b,21:17:24.00,-35:55:18.8
190a,21:17:58.08,-50:44:43.8
190b,21:18:01.20,-50:44:20.8
