NAME,RAJ2000,DEJ2000
183,17 26 37.67,+32 13 25.9
185,20 49 56.76,-48 54 18.1
186,20 57 56.34,-24 57 51.9
188,20 59 27.30,-60 39 47.6
189,21 17 24.60,-35 54 59.6
190,21 18 03.06,-50 45 07.9
192,21 44 40.68,-20 04 15.2
193,21 50 48.78,-61 44 28.2
194,22 00 45.54,-42 49 15.8
195,22 02 29.70,-22 53 39.6
196,22 08 31.68,-57 17 19.8
197,22 09 02.56,+17 49 52.8
198,22 18 03.48,-25 41 09.2
199,22 18 41.10,-24 10 45.1
200,22 20 49.56,-69 46 36.0
201,22 22 24.96,-61 17 01.4
202,22 25 29.40,-27 42 12.1
203,22 26 01.56,-11 07 37.4
204,22 32 20.34,-25 26 21.0
205,22 33 10.98,-60 55 21.6
207,22 40 32.28,-38 22 07.5
208,22 43 11.58,-34 37 55.1
209,22 52 51.24,-24 58 06.9
210,22 54 10.68,-18 09 25.6
260,17 16 34.60,+39 05 16.7
261,17 49 57.95,+68 24 19.3
262,21 27 56.34,-46 38 33.9
263,21 35 23.34,-49 56 05.1
276,21 55 28.63,-20 51 46.4
