RA,DEC,NAME,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,GroupID,GroupSize
261.6569583,32.2238611,183,261.6345417,32.2430278,183,1,17 26 32.29,+32 14 34.9,0.0,,19.3973,19.0417,Simbad,1,4
261.6569583,32.2238611,183,261.6464167,32.2230833,183,2,17 26 35.14,+32 13 23.1,1.09,,18.7672,17.583,Simbad,1,4
261.6569583,32.2238611,183,261.6699167,32.2198611,183,3,17 26 40.78,+32 13 11.5,0.0,,19.2444,18.6289,Simbad,1,4
261.6569583,32.2238611,183,261.676875,32.2095,183,4,17 26 42.45,+32 12 34.2,0.0,,19.9467,19.2487,Simbad,1,4
312.4865,-48.9050278,185,312.46,-48.9096111,185,1,20 49 50.40,-48 54 34.6,0.0,,18.3438,17.9407,Simbad,2,4
312.4865,-48.9050278,185,312.475,-48.8961111,185,2,20 49 54.00,-48 53 46.0,0.0,,19.822,18.9576,Simbad,2,4
312.4865,-48.9050278,185,312.502,-48.9163056,185,3,20 50 00.48,-48 54 58.7,0.030818,,18.5315,18.0714,Simbad,2,4
312.4865,-48.9050278,185,312.509,-48.8981111,185,4,20 50 02.16,-48 53 53.2,0.0,,20.1275,19.8406,Simbad,2,4
314.48475,-24.9644167,186,314.473,-24.9623889,186,1,20 57 53.52,-24 57 44.6,0.0,,19.5318,19.1392,Simbad,3,4
314.48475,-24.9644167,186,314.482,-24.9843889,186,2,20 57 55.68,-24 59 03.8,0.0,,18.628,18.7564,Simbad,3,4
314.48475,-24.9644167,186,314.49,-24.948,186,3,20 57 57.60,-24 56 52.8,0.094365,,19.6399,19.688,Simbad,3,4
314.48475,-24.9644167,186,314.494,-24.9628889,186,4,20 57 58.56,-24 57 46.4,0.0,,19.6074,19.1857,Simbad,3,4
314.86375,-60.6632222,188,314.848,-60.667,188,1,20 59 23.52,-60 40 01.2,0.055752,,18.6755,17.9281,Simbad,4,4
314.86375,-60.6632222,188,314.855,-60.6571944,188,2,20 59 25.20,-60 39 25.9,0.0,,19.0681,18.3195,Simbad,4,4
314.86375,-60.6632222,188,314.866,-60.68,188,3,20 59 27.84,-60 40 48.0,0.0,,19.0282,17.9487,Simbad,4,4
314.86375,-60.6632222,188,314.886,-60.6486944,188,4,20 59 32.64,-60 38 55.3,0.0,,19.7887,17.6968,Simbad,4,4
319.3525,-35.9165556,189,319.342,-35.9005,189,1,21 17 22.08,-35 54 01.8,0.029797,,17.0391,16.6342,Simbad,5,4
319.3525,-35.9165556,189,319.35,-35.9218889,189,2,21 17 24.00,-35 55 18.8,0.0,,19.0916,18.8092,Simbad,5,4
319.3525,-35.9165556,189,319.356,-35.9178889,189,3,21 17 25.44,-35 55 04.4,0.0,,19.1945,18.552,Simbad,5,4
319.3525,-35.9165556,189,319.362,-35.9258889,189,4,21 17 26.88,-35 55 33.2,0.0,,19.0757,18.3641,Simbad,5,4
319.51275,-50.7521944,190,319.492,-50.7455,190,1,21 17 58.08,-50 44 43.8,0.0,,19.7529,18.4345,Simbad,6,4
319.51275,-50.7521944,190,319.505,-50.7391111,190,2,21 18 01.20,-50 44 20.8,0.0,,19.8835,19.2635,Simbad,6,4
319.51275,-50.7521944,190,319.51,-50.767,190,3,21 18 02.40,-50 46 01.2,0.0,,18.5054,18.192,Simbad,6,4
