RA,DEC,NAME
261.6569583,32.2238611,183
312.4865,-48.9050278,185
314.48475,-24.9644167,186
314.86375,-60.6632222,188
319.3525,-35.9165556,189
319.51275,-50.7521944,190
326.1695,-20.0708889,192
327.70325,-61.7411667,193
330.18975,-42.8210556,194
330.62375,-22.8943333,195
332.132,-57.2888333,196
334.67125,-24.1791944,199
335.2065,-69.7766667,200
335.604,-61.2837222,201
336.3725,-27.7033611,202
336.5065,-11.1270556,203
338.08475,-25.4391667,204
338.29575,-60.9226667,205
340.1345,-38.36875,207
340.79825,-34.6319722,208
343.5445,-18.1571111,210
259.1441667,39.0879722,260
267.4914583,68.4053611,261
321.98475,-46.64275,262
323.84725,-49.93475,263
328.8692917,-20.8628889,276
