RA,DEC,NAME
312.46,-48.9096111,185
312.475,-48.8961111,185
312.502,-48.9163056,185
312.509,-48.8981111,185
314.473,-24.9623889,186
314.482,-24.9843889,186
314.49,-24.948,186
314.494,-24.9628889,186
314.848,-60.667,188
314.855,-60.6571944,188
314.866,-60.68,188
314.886,-60.6486944,188
319.342,-35.9005,189
319.35,-35.9218889,189
319.356,-35.9178889,189
319.362,-35.9258889,189
319.492,-50.7455,190
319.505,-50.7391111,190
319.51,-50.767,190
319.544,-50.7571944,190
326.157,-20.086,192
326.169,-20.0593056,192
326.172,-20.0813056,192
326.18,-20.0568889,192
327.696,-61.7656111,193
327.698,-61.7303056,193
327.709,-61.7246944,193
327.71,-61.7441111,193
330.168,-42.8186111,194
330.181,-42.8215,194
330.199,-42.8155,194
330.211,-42.8286111,194
330.607,-22.8866111,195
330.611,-22.8993889,195
330.632,-22.8906111,195
330.645,-22.9006944,195
332.122,-57.2773056,196
332.129,-57.3011111,196
332.132,-57.283,196
332.145,-57.2938889,196
334.657,-24.1621944,199
334.663,-24.1718889,199
334.679,-24.184,199
334.686,-24.1986944,199
335.168,-69.7538889,200
335.192,-69.7715,200
335.212,-69.7816944,200
335.254,-69.7996111,200
335.583,-61.2946111,201
335.599,-61.2801111,201
335.602,-61.2646111,201
335.632,-61.2956111,201
336.358,-27.7013056,202
336.365,-27.7025,202
336.383,-27.7013889,202
336.384,-27.7081944,202
336.488,-11.1421944,203
336.491,-11.1175,203
336.516,-11.1191111,203
336.531,-11.1293889,203
338.058,-25.4531944,204
338.078,-25.448,204
338.091,-25.4293889,204
338.112,-25.4261111,204
338.264,-60.9111111,205
338.288,-60.925,205
338.31,-60.9286944,205
338.321,-60.9258889,205
340.124,-38.3548889,207
340.13,-38.3545,207
340.138,-38.3926944,207
340.146,-38.3728889,207
340.788,-34.6578889,208
340.788,-34.636,208
340.807,-34.6123056,208
340.81,-34.6216944,208
343.53,-18.1451944,210
343.53,-18.1668889,210
343.547,-18.1595,210
343.571,-18.1568056,210
321.9612083,-46.6547222,262
321.9800417,-46.6295278,262
321.9803333,-46.64,262
321.9865,-46.6441667,262
322.0155833,-46.6452778,262
323.8237083,-49.9336111,263
323.834,-49.9335556,263
323.8369583,-49.9363889,263
323.866,-49.9327222,263
323.8755417,-49.9375278,263
328.8524167,-20.8626944,276
328.853,-20.8862222,276
328.8585,-20.8563333,276
328.865625,-20.8588333,276
328.8825833,-20.8591667,276
328.9036667,-20.8541389,276
