No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,"Associations ",Redshift-independent Distances,Classifications,Images,Spectra
1,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 0018+377</a>",5.352875,38.070944,G,14178.084716,0.047293,PUN,6,,21,6,1,3,,,,1,
2,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ARK 008</a>",5.392333,38.092972,G,10912.145679,0.036399,SUN,28,1,39,14,9,4,,,1,1,1
3,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MCG +06-01-029</a>",5.380707,38.076960,G,10497.832502,0.035017,SLS,12,,34,8,6,3,,,,1,
4,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">UGC 00338</a>",8.590917,39.601500,G,5863.041101,0.019557,SUN,12,1,33,10,2,2,,,1,1,
5,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">IC 1617</a>",16.070000,-51.032806,G,7627.019984,0.025441,UUN,25,3,46,13,5,16,,,6,3,
6,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 152-IG 009</a>",23.124859,-54.636755,GGroup,,,,3,1,4,4,,1,,,2,,
7,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 297- G 018</a>",24.654833,-40.011417,G,7562.864338,0.025227,SLS,92,3,93,31,19,19,,,5,7,1
8,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MCG -01-07-013</a>",36.823167,-3.899500,G,13081.144112,0.043634,SLS,17,1,40,12,5,6,,,2,4,1
9,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 546- G 006</a>",40.448869,-20.798982,G,3062.000000,0.010214,SUN,21,1,18,10,6,14,,,9,2,3
10,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 546-IG 007</a>",40.461667,-20.811389,GPair,7707.000000,0.025708,SUN,11,1,8,9,3,2,1,,2,,
11,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 302- G 001</a>",55.611542,-41.144861,G,1475.878271,0.004923,SUN,14,1,48,13,6,14,,,3,3,1
12,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 202-IG 021</a>",66.772333,-49.114889,G,17471.904452,0.058280,SUN,21,1,46,13,5,11,,,3,3,
13,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">UGC 03061</a>",67.545417,6.943889,GGroup,4373.971962,0.014590,S1L,25,1,13,10,10,5,,,6,,2
14,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CGCG 119-059</a>",124.995245,21.066272,G,4227.389789,0.014101,SLS,65,,63,13,13,6,,5,9,1,3
15,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CGCG 119-061</a>",125.045074,21.068974,G,5202.114751,0.017352,SLS,74,,91,19,16,14,,,3,1,3
