Group RA Dec
1 0.09554166666666665 -22.58711111111111
5 3.537583333333333 -22.56413888888889
6 4.443124999999999 -69.14861111111112
19 12.861749999999997 -23.21563888888889
32 23.427541666666666 -69.32138888888889
41 33.67916666666667 -41.64208333333333
49 46.55779166666667 -42.66788888888889
50 47.150375 -47.27441666666667
51 47.54816666666666 -35.01594444444444
52 50.09766666666666 -40.19316666666666
53 51.63520833333333 -42.82991666666667
55 53.26412499999999 -47.663583333333335
57 53.806416666666664 -33.47647222222223
58 54.538166666666655 -47.39761111111111
59 55.135458333333325 -48.63055555555555
62 57.732375 -38.070083333333336
68 73.36316666666664 -36.25338888888889
187 314.67074999999994 -48.55738888888889
191 322.31275 -31.028499999999998
211 343.97124999999994 -55.60861111111111
221 355.90124999999995 -22.454
228 6.347083333333333 -21.64752777777778
234 66.41516666666666 -64.4605
236 69.29391666666666 -46.68883333333333
264 349.18324999999993 -41.65558333333333
267 24.808041666666664 -74.42291666666667
268 38.57462499999999 -73.72011111111111
270 61.545749999999984 -36.93008333333333
277 31.262583333333335 -74.86388888888888
4 3.3276666666666666 -41.579638888888894
17 12.240666666666666 -45.77019444444444
31 23.133541666666662 -54.63436111111111
203 336.50649999999996 -11.127055555555556
206 339.9579999999999 -47.49052777777778
212 345.3734999999999 -20.04302777777778
217 353.17325 -13.209138888888889
218 353.76249999999993 -47.974611111111116
220 355.72324999999995 -13.058472222222223
225 358.76849999999996 -50.06286111111111
226 359.85949999999997 -20.39311111111111
265 359.0346666666666 -17.239250000000002
