ObjID,GLXID,plate,MJD,fiberID,RA,DEC,z_gswl,chi2_sed,logM_stellar,e_logM_stellar,logSFR_sed,e_logSFR_sed,A_FUV,e_A_FUV,A_B,e_A_B,A_V,e_A_V,flag_sed,UV_survey,flag_uv,flag_midir,flag_mgs,group_id,ra,dec,z,group_L,stellar_mass,halo_mass1,halo_mass2,mean_separation_L,mean_separation_M,f_edge,ID1,ID2,Separation
1237662236398256208,6378797078460501091,1796,53884,41,197.83683,8.831822,0.0677,1.52,10.536,0.033,0.45,0.066,1.373,0.198,0.429,0.087,0.319,0.071,0,1,3,2,1,289841,197.83684682,8.83180693,0.0677045,10.2479,10.277,12.3458,11.9281,7.996,5.9513,1.0,1,1,0.0807675261587167
1237665126922125425,6378410072916100555,2351,53786,364,155.06629,30.013854,0.1568,1.52,11.046,0.039,0.589,0.145,1.882,0.489,0.512,0.16,0.382,0.145,0,1,3,2,1,366078,155.06628335,30.0138323,0.1567773,10.334,10.6832,12.4904,12.4527,8.8819,8.6395,1.0,-1,-1,0.0808236176097954
1237650762933862488,6378973034680683366,338,51694,539,194.75312,-1.428991,0.0977,1.81,10.568,0.038,-1.541,0.8,1.019,1.095,0.153,0.148,0.105,0.097,0,1,2,5,1,67536,194.75311821,-1.42897599,0.0976744,10.0713,10.434,12.0702,12.1043,6.5735,6.7327,1.0,-1,-1,0.05441864209197128
1237665372260139423,-99,2967,54584,274,240.77546,19.008217,0.1218,1.28,11.134,0.019,-1.621,0.643,1.07,0.507,0.162,0.05,0.109,0.033,0,1,0,1,1,381162,240.77546423,19.00821816,0.1218006,10.5779,10.9609,12.9411,12.9006,12.5028,12.1055,0.975,1,1,0.014991036608998419
1237663457776370303,6379535943829816104,985,52431,515,316.97529,0.13049,0.0477,0.28,10.494,0.024,-0.598,0.227,1.986,0.636,0.281,0.067,0.187,0.052,0,1,2,6,1,326036,316.97530018,0.13048725,0.0476615,9.8637,10.1638,11.803,11.8276,5.4556,5.5501,1.0,1,1,0.037961545495498836
1237668348137242741,6378585992629063639,2747,54233,87,217.74999,13.661402,0.1551,0.3,11.122,0.031,0.591,0.121,1.977,0.357,0.556,0.12,0.416,0.109,0,1,3,2,1,456553,217.7499662,13.66137307,0.1551211,10.3385,10.6806,12.4985,12.4485,8.9345,8.6129,1.0,-1,-1,0.13333553521583144
1237665127994359896,6378410066473649114,1950,53436,573,150.86932,29.84385,0.1661,0.26,11.243,0.046,-0.05,0.631,1.891,0.811,0.403,0.098,0.295,0.083,0,1,0,1,1,367933,150.86931361,29.84384724,0.1661029,10.4953,10.9242,12.7884,12.8403,11.1028,11.5549,1.0,-1,-1,0.022290337092578286
1237667254541025383,6378410113716195088,2350,53765,499,154.87484,26.777943,0.1178,0.92,10.53,0.035,-0.179,0.297,1.743,0.936,0.246,0.149,0.158,0.093,0,1,2,0,1,407672,154.87487738,26.77793367,0.117834,10.0888,10.3908,12.0957,12.0525,6.692,6.4918,1.0,-1,-1,0.12474379538779967
1237674459881144465,6382702551278552717,993,52710,83,145.71256,5.232395,0.1207,0.74,10.983,0.032,0.25,0.132,1.313,0.365,0.44,0.132,0.349,0.117,0,1,3,1,1,194893,145.71254342,5.2324028,0.120659,10.4653,10.7672,12.7328,12.5804,10.6425,9.4921,0.74,1,1,0.06573822585815417
1237665564998893833,-99,2775,54535,605,220.17315,19.904212,0.0972,0.48,10.805,0.067,-0.344,0.594,2.53,0.705,1.017,0.184,0.83,0.176,0,1,0,2,1,394740,220.17312929,19.90421109,0.0972018,9.8714,10.464,11.8116,12.1424,5.4887,6.9164,1.0,-1,-1,0.0701787608997808
1237660613437161534,6379078574912048390,1222,52763,71,170.70374,9.181752,0.1125,1.4,11.057,0.056,1.171,0.125,3.074,0.353,0.469,0.105,0.29,0.076,0,1,3,7,1,221750,170.70374306,9.18174521,0.1125335,10.7546,10.9412,13.251,12.8686,16.1034,11.8114,1.0,1,1,0.02675390765489438
1237667912745484416,6378621158747539098,2663,54234,334,197.07815,25.528894,0.1393,0.35,10.957,0.032,0.76,0.094,1.909,0.252,0.658,0.128,0.505,0.113,0,1,3,2,1,441445,197.0781525,25.52888127,0.1392964,10.4183,10.6438,12.6442,12.3943,9.9529,8.2814,1.0,1,-1,0.0465420380964203
1237667107963404637,6377776798239821017,2273,53709,253,126.18652,17.937759,0.1512,1.11,11.011,0.039,-1.118,0.847,2.068,0.825,0.316,0.127,0.209,0.083,0,1,0,0,1,399120,126.18651459,17.93775323,0.1511667,10.4038,10.8492,12.6183,12.7131,9.7627,10.4851,1.0,-1,-1,0.027835428625443397
1237651755081924772,6379113734588072426,513,51989,616,175.13244,3.484919,0.0917,0.33,10.193,0.056,0.419,0.08,1.5,0.252,0.565,0.133,0.436,0.116,0,1,3,2,1,92621,175.13242658,3.48488689,0.0917019,10.0655,10.0863,12.0621,11.7799,6.5361,5.3696,0.895,-1,-1,0.12525118972350638
1237662636908478794,6382737737798128385,1720,53854,24,231.301,10.436971,0.0934,0.32,10.605,0.031,0.305,0.084,1.438,0.25,0.414,0.11,0.308,0.098,0,1,3,2,1,316053,231.30100272,10.43696855,0.0934025,10.0576,10.2466,12.0509,11.8985,6.4842,5.8289,1.0,-1,-1,0.013058678945302571
1237666301094854936,-99,416,51811,516,55.788378,0.266026,0.1685,1.12,11.487,0.008,-1.537,0.477,0.727,0.275,0.109,0.02,0.073,0.013,0,1,0,6,1,398287,55.78837376,0.26603687,0.1685132,10.8792,11.288,13.4421,13.3955,19.0375,18.2589,1.0,-1,-1,0.0420035486291861
1237668270825209980,-99,2641,54230,85,203.48104,18.150365,0.1465,0.56,11.091,0.023,-1.296,0.805,1.889,0.677,0.311,0.087,0.21,0.061,0,1,0,0,1,444083,203.48103296,18.15036084,0.1465168,10.4926,10.9168,12.7835,12.8273,11.0615,11.4406,1.0,1,1,0.028359629636323398
1237667736122949759,6378621143713055216,2649,54212,417,193.70742,23.004243,0.0758,1.78,10.546,0.048,-0.359,0.56,2.598,0.92,0.479,0.123,0.333,0.109,0,1,0,7,1,430258,193.70743755,23.00425491,0.0757781,9.9325,10.3215,11.8851,11.9746,5.7756,6.1479,1.0,1,1,0.07225256286212628
1237656495109832888,-99,746,52238,301,351.03871,14.173863,0.1466,0.45,11.201,0.068,0.238,0.485,2.609,0.877,0.844,0.171,0.661,0.154,0,1,0,7,1,158536,351.03873262,14.1738669,0.1466247,10.3528,10.8915,12.5246,12.7848,9.1086,11.0723,1.0,1,1,0.08019160972294437
