ra,dec,index,Radii
155.06628335,30.0138323,2,5
154.87487738,26.77793367,8,5
145.71254342,5.2324028,9,5
231.30100272,10.43696855,15,5
193.70743755,23.00425491,18,5
142.20640247,8.24681578,22,5
230.59871661,8.28421089,24,5
198.59697956,16.1787489,26,5
189.18614662,19.04005304,30,5
131.4526486,31.27503035,33,5
174.12969045,2.75003487,43,5
177.28392841,30.35337701,47,5
182.70938251,-2.78701033,51,5
191.32631003,24.04119359,56,5
179.90078718,5.11424522,58,5
185.61227566,19.98465511,59,5
200.13820787,21.0706129,60,5
224.51577157,12.1604288,62,5
243.31767117,23.04355591,66,5
172.98030616,24.19971532,76,5
175.06157974,0.42767268,81,5
210.07944472,4.74741994,82,5
181.83068801,30.86650601,84,5
202.49214975,31.43855871,105,5
321.52765893,-6.07945118,111,5
180.58018025,25.81419798,112,5
245.43140846,24.46679177,119,5
128.83960808,17.70952256,122,5
211.7780055,27.1987675,123,5
211.97952496,14.83468872,139,5
158.39943688,6.82151191,151,5
246.4323669,26.8580571,159,5
152.38970445,23.28384257,171,5
207.60270861,30.9332993,172,5
154.49101501,14.38622472,196,5
173.02818549,-0.41539677,198,5
151.40005074,31.53116194,202,5
240.14093358,-0.60927217,220,5
326.6039782,-8.98335634,221,5
159.84179049,1.91462523,223,5
189.39254232,12.79437074,230,5
163.94904541,16.56602804,262,5
219.01663891,6.3159409,271,5
167.47407954,32.10104075,286,5
217.99426081,27.52156153,288,5
25.74653463,13.39368175,294,5
220.75482932,10.28775119,303,5
158.68095106,21.71118004,334,5
213.53762464,15.26760523,342,5
196.95141191,8.89304533,345,5
219.79212354,18.63692027,350,5
170.19822145,4.35438693,351,5
138.62782363,17.04980121,360,5
150.74317453,18.22210521,367,5
171.91713659,14.60803717,381,5
166.78268408,15.74508575,386,5
172.06440866,5.51223929,399,5
124.09096827,20.30959785,414,5
1.92560867,-0.57086029,415,5
218.06212741,24.95990049,423,5
157.821512,4.68701682,425,5
166.76970679,31.05740902,439,5
351.24857251,-8.7648345,447,5
355.07163869,0.96021978,448,5
142.09245828,18.27519949,453,5
42.50640249,-8.95668246,457,5
132.50296552,14.92808299,461,5
243.2942138,5.43932589,472,5
170.34044249,26.36801015,474,5
203.27002311,22.57734267,478,5
3.74592974,-1.07373253,483,5
153.35084359,27.55263649,485,5
250.22083992,20.73135916,486,5
162.62212523,13.18491636,493,5
228.26120956,-2.11002963,500,5
188.41058989,28.78365352,501,5
329.83614345,-7.49940803,506,5
225.60713368,26.80805278,511,5
182.84916092,30.36057419,512,5
214.82148897,16.3079094,524,5
217.26178855,30.84566124,532,5
206.2948178,20.99191971,538,5
342.69138814,-8.54972623,568,5
216.17581366,3.92805719,569,5
243.65986157,27.14830813,575,5
204.53992911,31.7548764,578,5
178.74340567,23.42215391,581,5
157.51351929,11.18851037,582,5
330.24046952,-7.41302848,603,5
212.01606013,19.18505508,606,5
149.33458064,16.82226551,645,5
198.11329545,10.80759866,659,5
230.28763133,27.92258403,664,5
234.42807285,1.66935324,666,5
182.56525881,21.32264818,690,5
155.28852761,25.10565483,694,5
179.27714585,25.12783352,699,5
189.57126382,13.42917086,708,5
164.12950752,27.70915061,719,5
173.57272142,4.35301359,722,5
