group_id,ra,dec
289841,197.83684682,8.83180693
366078,155.06628335,30.0138323
67536,194.75311821,-1.42897599
381162,240.77546423,19.00821816
326036,316.97530018,0.13048725
456553,217.7499662,13.66137307
367933,150.86931361,29.84384724
407672,154.87487738,26.77793367
194893,145.71254342,5.2324028
394740,220.17312929,19.90421109
221750,170.70374306,9.18174521
441445,197.0781525,25.52888127
399120,126.18651459,17.93775323
92621,175.13242658,3.48488689
316053,231.30100272,10.43696855
398287,55.78837376,0.26603687
444083,203.48103296,18.15036084
430258,193.70743755,23.00425491
158536,351.03873262,14.1738669
422420,136.14074082,17.94674254
428122,184.39713463,22.36923355
230243,142.20640247,8.24681578
221491,170.5330973,8.82254839
268136,230.59871661,8.28421089
354690,131.05410261,23.34700328
464267,198.59697956,16.1787489
160959,339.21229069,-8.45873957
58532,219.00385063,-0.11045007
462142,163.18058363,17.00268877
441975,189.18614662,19.04005304
204594,185.9972342,12.7895379
161838,315.65742852,0.10072877
227949,131.4526486,31.27503035
84447,197.05525747,1.5481786
60240,179.78198407,0.74289151
414128,133.95094055,17.08283426
119384,123.81667857,3.44942352
421199,134.01860239,15.92690923
355588,121.54873949,19.62902068
294550,209.65416844,8.81013791
296322,210.51471607,9.92931779
358665,132.4059176,24.38818064
113545,174.12969045,2.75003487
103654,0.63127486,14.40033347
149876,233.06839645,-1.77462835
458470,211.66742344,16.59632373
404642,177.28392841,30.35337701
463006,188.20386676,17.55403895
415023,158.49054801,24.52464391
91317,206.11288513,2.445105
66510,182.70938251,-2.78701033
236254,133.8017706,29.50176879
314425,237.49496149,9.27859661
454970,222.95153986,13.80261425
113492,169.50151417,2.66686794
439158,191.32631003,24.04119359
379507,165.45089546,29.95353245
136465,179.90078718,5.11424522
442565,185.61227566,19.98465511
433032,200.13820787,21.0706129
378072,220.8004481,26.00798012
313921,224.51577157,12.1604288
110911,26.7032502,13.77266261
461717,161.7359804,16.00048895
127207,189.60295908,4.4833756
319097,243.31767117,23.04355591
127940,203.11065628,4.74361516
57692,232.11595468,-0.50589881
430103,177.36325142,22.97640346
449559,161.66293108,18.95295581
127157,223.40676309,2.88303078
299831,253.63992651,23.83777127
159256,0.36731948,15.37550368
65995,197.1000902,-3.56728534
467219,27.48079349,-9.01804674
439560,172.98030616,24.19971532
65113,192.63672399,-2.22543973
410521,129.54820958,16.60849845
152765,228.97352518,-2.16374177
449407,167.23025548,19.2860248
54540,175.06157974,0.42767268
128659,210.07944472,4.74741994
435932,221.80194635,18.46525118
405127,181.83068801,30.86650601
440976,209.80553274,23.48519999
59915,153.01616967,0.70243639
201820,175.24842377,10.71775596
314727,242.27302822,27.8927114
149512,200.67699828,-2.42280963
191563,139.50352344,5.89314658
392338,238.14750141,16.14804462
148669,209.498151,-1.39086432
464648,177.90592622,17.33612259
222704,165.34575841,10.52582383
305178,237.00286727,30.05144733
451447,219.09089769,16.55075319
332551,14.83460254,-0.80687731
394319,207.9494267,26.61807653
197819,173.03202901,8.54882919
269445,173.94163919,12.59112076
147313,257.21674741,30.73303136
444238,217.30794209,16.17228105
294034,198.79754345,8.98688161
294820,232.17952849,6.43424407
376776,202.49214975,31.43855871
222298,175.68474425,10.1087757
344589,192.20967358,15.5538857
282927,236.09663301,7.68394946
432250,127.0997405,11.55139933
420007,133.24135419,15.65134364
96681,321.52765893,-6.07945118
441304,180.58018025,25.81419798
236403,126.80607068,25.96724388
253771,247.77550513,25.95542155
156023,341.46293967,12.69815762
101335,56.5914436,-5.3633509
390296,227.64727346,21.70163936
317473,243.99388019,26.02914998
304770,245.43140846,24.46679177
122279,137.24413593,4.07334276
414735,130.1417281,16.11191706
406727,128.83960808,17.70952256
383059,211.7780055,27.1987675
297228,212.2853979,6.18024266
54760,195.89850741,0.5633144
454574,218.2866456,14.32758201
467867,122.06840509,8.96980101
278814,186.70624995,8.57938868
373663,209.85781788,29.92774585
317434,240.87504802,28.06088129
384683,186.99494446,28.82912778
420191,138.69389617,17.78432252
432652,163.36453675,20.21007552
221039,145.09149811,8.49147274
322362,229.78399859,28.27385584
234419,137.77945726,10.36452647
430319,200.2295372,22.42166618
102701,326.70916998,-7.02240501
454354,211.97952496,14.83468872
362817,133.78643339,23.11175062
434552,223.82458164,17.48657408
433801,154.57723212,19.39066999
226754,160.81415621,12.28230841
418416,201.17574812,23.1532321
394571,223.81855075,22.98689183
195682,154.53572785,6.43134857
289983,211.01674806,7.96540849
450647,196.39271518,18.99240669
465208,204.38657753,16.84655196
230303,148.07033274,9.01277193
191251,158.39943688,6.82151191
313987,200.69838804,15.39723743
307185,248.6955501,26.38358646
221782,174.01204598,9.19468515
406464,180.63503522,29.47666178
472451,149.66384099,14.28979876
342712,172.41498301,13.71579506
270636,190.98484579,13.08966261
253749,246.4323669,26.8580571
301569,252.12548329,27.21109946
456958,231.70615961,11.44320597
201059,172.51408553,10.26027502
403015,136.30660872,20.53862768
102654,322.16445875,-6.51114791
292864,206.4509352,10.37633481
402728,182.97263871,29.31666537
277284,209.11323927,7.3019633
152331,215.27846338,-2.87743187
197433,142.54863,6.78720235
107178,348.15611163,-8.42896356
410408,152.38970445,23.28384257
377394,207.60270861,30.9332993
217749,42.7914506,-1.2470395
421870,152.6748427,21.61132959
90189,200.94903988,1.98730476
278255,190.02350005,7.31480289
311415,252.02828283,24.90699655
200871,154.80296648,9.21187635
99513,357.49733037,-9.79891303
385580,204.34101159,28.30136268
137362,171.49428004,5.7317746
396713,221.7266565,21.25484598
384386,216.30453118,27.05670844
342225,161.02333611,14.89200018
313496,216.26312749,12.96766097
57571,217.13286348,-0.60968036
412248,185.32398794,27.20206974
455119,237.08994088,10.84432794
148367,203.32672339,-1.94004223
308154,241.01758499,27.09706321
438527,181.46541284,23.75723559
161019,344.0449742,-8.90015462
446078,209.56305545,18.65091806
417950,175.39428399,28.29756927
470154,148.06442331,13.86218263
469832,154.49101501,14.38622472
119541,162.70424393,5.47519278
126123,173.02818549,-0.41539677
376746,200.52351876,31.6181054
63214,55.36086791,-7.43917352
399690,126.85634896,19.75690966
358552,151.40005074,31.53116194
414043,126.82792329,14.21573765
468626,147.61555419,16.23269266
256359,174.24678242,12.44825507
425359,132.18937432,14.84113945
66002,198.54217738,-3.55316882
440151,178.14212017,24.88412082
103583,352.25585958,14.20122897
60293,185.07416918,0.77168921
292385,211.56551582,9.59605335
406910,148.75089317,24.860816
296576,228.47674865,8.1504313
289943,208.82748559,8.19562819
110743,10.95743768,14.73902483
232674,186.51067499,13.7456438
270695,197.9570819,12.93322934
119712,144.56252385,2.81732579
52715,219.46495527,-0.67243306
51378,240.14093358,-0.60927217
159917,326.6039782,-8.98335634
148827,208.08204183,-3.18110078
89738,159.84179049,1.91462523
428027,177.7831039,22.29992044
102051,325.95342591,-8.19612462
343885,202.71491228,14.12791347
267490,174.43822855,11.77868704
450500,183.99581847,19.16782985
366764,224.23912871,27.1773931
