group_id,ra,dec,z,group_L,stellar_mass,halo_mass1,halo_mass2,mean_separation_L,mean_separation_M,f_edge,ID1,ID2
299083,230.53675762,6.53253057,0.0946108,9.9687,10.1588,11.9305,11.8238,5.9611,5.5353,1.0,-1,-1
144382,203.66489296,61.25177321,0.1030072,10.0678,10.3324,12.0652,11.9862,6.5506,6.1977,0.76,-1,-1
456299,239.28782878,15.73226039,0.1622209,10.4251,10.8868,12.657,12.7767,10.0491,11.0045,1.0,-1,-1
293586,205.9625176,7.72385029,0.1081352,10.1482,10.292,12.1896,11.9431,7.1517,6.0134,1.0,-1,-1
413502,204.89448291,26.53817477,0.1078418,9.9497,10.1962,11.9062,11.8536,5.8608,5.6503,1.0,-1,-1
329537,324.52666088,0.27759927,0.1188056,10.5561,11.0131,12.9014,12.9861,12.114,12.9582,1.0,1,1
101043,26.01689209,-8.45983987,0.132992,10.3537,10.5729,12.5262,12.2915,9.1197,7.6909,1.0,1,-1
256693,175.64864462,12.86952057,0.0831682,9.8713,9.9002,11.8115,0.0,5.4881,0.0,1.0,-1,0
140181,175.65962443,61.33247819,0.1040718,9.9435,10.0274,11.899,11.7529,5.8309,5.2698,1.0,-1,-1
108693,118.04150564,38.01894783,0.0377954,9.929,10.0007,11.8808,11.7421,5.7585,5.2309,0.98,1,1
199762,130.33408321,6.01010076,0.1550718,10.4444,10.7762,12.6937,12.595,10.3313,9.594,1.0,-1,-1
318874,230.37810366,29.88509164,0.116889,10.3178,10.6279,12.4625,12.3708,8.7025,8.1425,1.0,1,-1
81888,194.28094639,67.11656389,0.1255709,10.5059,10.9526,12.8076,12.8873,11.2671,11.9836,0.635,1,1
192996,163.72632088,58.56234212,0.1013528,10.2755,10.2036,12.3905,11.8598,8.2588,5.6751,1.0,1,-1
221770,172.68712729,9.27210818,0.1697517,10.388,10.482,12.5894,12.1659,9.555,7.0326,1.0,-1,-1
275303,172.95098992,6.55594046,0.0946219,10.1725,10.6831,12.2278,12.4527,7.3492,8.6391,1.0,-1,-1
271137,242.4956468,7.44386347,0.1558869,10.6029,11.011,12.9868,12.9828,12.9653,12.9248,1.0,-1,-1
445138,237.81871611,11.8068034,0.0344497,9.8151,9.9296,11.7512,0.0,5.2636,0.0,0.94,1,0
154836,215.44017712,6.6356355,0.1110944,10.0609,10.5062,12.0552,12.1975,6.5041,7.1915,1.0,-1,-1
212707,243.95368226,38.66498749,0.0712177,10.3555,10.6596,12.5295,12.4174,9.1418,8.422,1.0,1,1
389672,226.59397224,21.69576025,0.0804034,10.063,9.9757,12.0582,0.0,6.5182,0.0,1.0,-1,0
