galaxy_id,NYU_id,z_source_id,ra,dec,z,r,r_limit,completeness,M_r,stellar_mass,g-r
28287,102379,-1,17.166771855,13.829682956,0.041026,17.2306004,17.6594009,0.8245,-18.2367306,9.3306332,0.5752316
13545,64143,-1,230.882317223,0.016747679,0.028527,16.1254005,17.7131996,0.881,-18.5314617,9.3534365,0.4188786
169486,450622,-1,322.337595392,-0.684820486,0.052222,17.7700005,17.7761002,0.9004,-18.2427979,9.2097368,0.4192333
233207,650386,-1,148.27535659,8.090814246,0.060446,17.4994011,17.7817993,0.8451,-18.8316154,9.4648352,0.4672852
356133,1049174,-1,250.312900904,20.752205602,0.023336,15.6757994,17.7824993,0.9541,-18.5496597,9.303113,0.3756981
117853,322849,-1,160.851859733,4.482272755,0.026866,16.9463997,17.7959995,0.8889,-17.5907593,9.0427914,0.5257835
230221,643092,-1,144.502749799,6.924343474,0.016738,17.153801,17.7807999,0.8608,-16.2948723,8.4257441,0.305728
6254,35614,-1,8.555701532,0.501034405,0.056726,17.9109001,17.6728992,0.9902,-18.2764606,9.2474566,0.4666233
94106,266344,-1,333.791045626,14.041777618,0.027737,16.835001,17.7826996,0.8438,-17.7212563,9.3819284,0.7920456
68869,209044,-1,156.16378094,1.546234644,0.051776,17.3127003,17.7852993,0.8981,-18.6767521,9.4402828,0.5186443
82267,238432,-1,10.923300572,-11.182194654,0.036196,17.0181007,17.7896996,0.8764,-18.1542835,9.4025774,0.6710033
180077,506623,-1,24.899723384,-0.522817243,0.055685,17.6930008,17.6693993,0.9429,-18.4819393,9.1879187,0.2062893
181431,512675,-1,47.758649517,-0.182300477,0.035906,17.4923,17.6671009,0.9942,-17.7068062,8.9685402,0.4128799
352981,1029040,-1,210.37405774,13.116426998,0.056126,17.6668015,17.7875004,0.8744,-18.5179844,9.2002554,0.3099709
78597,230422,-1,342.288224363,-10.088722169,0.063961,17.2896004,17.8138008,0.8914,-19.1865749,9.4109669,0.2612648
72357,216547,-1,170.300156247,2.427541911,0.039522,17.7152004,17.7735996,0.8011,-17.6945496,8.8906755,0.2756004
229737,641599,-1,157.545426745,7.353035649,0.035303,17.5426006,17.7504997,0.8163,-17.577446,9.1574755,0.6882267
326908,885181,-1,190.217291,12.752442531,0.020322,16.5335999,17.7973995,0.8293,-17.3529358,8.9841623,0.5645351
78703,230898,-1,311.45949764,-6.414622679,0.042098,17.6536999,17.9064007,0.7321,-17.8244839,9.3407516,0.6319809
337365,923485,-1,206.34398785,11.369710841,0.016511,17.6958008,17.7882996,0.8839,-15.7687702,7.9102631,0.0132322
71629,214530,-1,225.362348371,1.568830333,0.048707,16.9395008,17.7833004,0.8072,-18.9440422,9.3466892,0.2918587
71680,214628,-1,228.137853636,1.504816451,0.029159,15.5395994,17.7831001,0.7462,-19.1783924,9.4431458,0.2529469
352551,1025323,-1,234.840533753,32.372442558,0.036884,17.6401997,17.7721004,0.8813,-17.5945015,8.9480057,0.3717918
274843,756720,-1,122.240548736,24.358387886,0.072421,17.7038002,17.7922001,0.8873,-19.0346622,9.4336672,0.3233166
13605,64257,-1,233.938827653,0.029100059,0.066718,17.5293007,17.7131996,0.9344,-19.0317059,9.4276009,0.3293228
264019,731320,-1,165.263283613,9.351682401,0.037424,17.4608002,17.7964001,0.8604,-17.7775517,9.2481298,0.6585178
14444,66550,-1,204.618775337,0.510344047,0.022498,16.4238014,17.7133999,0.8879,-17.7273846,8.9280033,0.3141479
226670,633952,-1,159.057329541,5.704783225,0.029078,17.7636013,17.7667007,0.8163,-16.9087505,8.9320784,0.6202126
113144,310900,-1,165.154693486,4.065299379,0.012405,16.0482998,17.7737007,0.8826,-16.785368,8.4004908,0.1711121
82307,238489,-1,12.844007245,-11.145306923,0.02084,16.3973999,17.7891998,0.8198,-17.5692406,8.8016882,0.2674541
96679,271766,-1,14.948145107,-9.114647815,0.019144,17.7249012,17.7943001,0.8333,-16.0599461,8.5170803,0.6110392
5211,28496,-1,17.246388341,0.131725312,0.051129,17.3031006,17.6730003,0.9941,-18.6817398,9.2935553,0.3694725
232482,648583,-1,167.755258953,9.27025605,0.047284,17.5796013,17.7926006,0.8846,-18.2180653,9.168314,0.3803577
95286,268944,-1,10.189541462,-10.58268349,0.041908,17.0223007,17.8064995,0.8401,-18.5218239,9.2803211,0.4201012
209817,594512,-1,116.576394585,22.419703077,0.046229,17.4892998,17.7833004,0.8339,-18.2277126,9.4422216,0.7120171
164656,438796,-1,6.322100218,14.578023098,0.017434,17.4667015,17.7898006,0.8805,-16.0951843,8.2597885,0.2639208
117136,320996,-1,180.651375275,4.549937959,0.018905,17.1848011,17.7621994,0.9559,-16.5906105,8.6131344,0.4862423
75900,224341,-1,221.258785445,2.921068466,0.027468,17.5388012,17.7903996,0.7907,-17.0350513,8.861577,0.5734367
171283,459783,-1,318.758842367,-0.154594229,0.032742,17.6744003,17.7842999,0.8992,-17.2973213,8.7234554,0.2994518
325042,878819,-1,195.460636637,11.766675665,0.028595,17.6903,17.7889996,0.8966,-16.9798546,8.638278,0.3153095
307723,840131,-1,244.834188326,29.221066566,0.039016,17.5153999,17.7928009,0.8864,-17.8482113,9.1168242,0.5041904
37047,125893,-1,173.167234801,-2.422500329,0.050618,17.3199005,17.6245003,0.8774,-18.6074829,9.4697514,0.5197601
344979,993323,-1,243.103781703,30.531674619,0.054827,17.7273998,17.7917995,0.8729,-18.4435196,9.3076544,0.0057297
2220,12266,-1,0.622972856,-0.759445419,0.033134,17.2960014,17.6644001,0.973,-17.6737251,9.0891733,0.5187149
88471,252939,-1,309.74629829,-6.936018397,0.053806,17.1940002,17.7691994,0.8007,-18.8908615,9.4358778,0.3697987
76216,225392,-1,225.609619889,3.031731617,0.047697,17.3663998,17.7821999,0.8535,-18.4492168,9.2705536,0.3787308
3038,14363,-1,37.86098981,-0.792959577,0.040634,17.2468014,17.6665993,0.957,-18.2290459,9.1716318,0.4174633
32531,114051,-1,350.501828054,-0.797001096,0.039504,17.5503006,17.7054996,0.9714,-17.8102131,9.2607737,0.6262932
99353,277996,-1,356.292745209,-10.933579107,0.023513,16.9888,17.8127003,0.9031,-17.2499523,8.7708817,0.3545761
228534,638684,-1,125.556552696,4.197696987,0.012933,15.4393997,17.7863998,0.7899,-17.4144325,9.2365408,0.7420311
25664,95201,-1,194.17434957,1.142563178,0.047899,17.7842999,17.6945,1.0,-18.0482674,9.1417789,0.4135189
260139,722325,-1,115.537179012,21.760866268,0.043315,17.2312012,17.7872009,0.8339,-18.3606014,9.4403572,0.5069904
5457,29081,-1,27.984666651,0.097536442,0.028305,17.7926006,17.6648006,1.0,-16.864296,8.5624075,0.2909889
27145,99452,-1,15.863432772,14.760605712,0.04022,17.5438004,17.6581993,0.9314,-17.8810349,9.1717873,0.556591
234666,653638,-1,177.096897365,10.439764779,0.021219,17.5564003,17.7929993,0.8871,-16.4077587,8.4243717,0.3216114
28342,102463,-1,20.098991788,13.555844225,0.052718,17.5234013,17.6632004,0.9082,-18.5303993,9.1916685,0.3453426
130616,354228,-1,191.945125005,5.635607048,0.040497,17.2973003,17.7658997,0.8361,-18.1357422,9.3189459,0.5969105
129641,352318,-1,187.970633176,5.398989199,0.067603,17.7653008,17.7840004,0.848,-18.8157291,9.4391613,0.4166927
345048,993614,-1,243.369775651,30.868185005,0.053872,17.6787014,17.7873001,0.9213,-18.3916874,9.3512325,0.4955254
172332,464381,-1,345.614413605,-0.943105024,0.042692,17.5389004,17.6662006,0.9333,-18.0283813,9.1029024,0.3775291
2842,13747,-1,26.957216508,-0.727099411,0.042112,17.6051006,17.6620998,1.0,-17.9260254,9.1920004,0.5632858
77811,228928,-1,224.123857534,4.484198448,0.044598,17.6876011,17.7801991,0.8464,-17.9972382,9.0129662,0.356432
159992,423403,-1,221.91893249,-2.632430531,0.043505,17.521801,17.7770004,0.9028,-18.0928211,9.0959387,0.3550739
255242,702427,-1,258.10665472,28.860160467,0.044269,17.8593998,17.7703991,0.8,-17.7990627,8.7314653,0.0747948
344827,992679,-1,249.542072823,25.225620376,0.068229,17.5963001,17.7807999,0.8836,-19.0058365,9.4676619,0.4048557
157628,416199,-1,230.60389433,-1.756769089,0.027179,17.1867008,17.7807007,0.8705,-17.3871365,8.8577814,0.3855133
26505,97907,-1,29.625692887,12.851764074,0.044249,16.8457012,17.6811008,0.9752,-18.8045883,9.4097662,0.3719864
