ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_petro,e_u_petro,SEX_FLAGS_u,J0378_petro,e_J0378_petro,SEX_FLAGS_J0378,J0395_petro,e_J0395_petro,SEX_FLAGS_J0395,J0410_petro,e_J0410_petro,SEX_FLAGS_J0410,J0430_petro,e_J0430_petro,SEX_FLAGS_J0430,g_petro,e_g_petro,SEX_FLAGS_g,J0515_petro,e_J0515_petro,SEX_FLAGS_J0515,r_petro,e_r_petro,SEX_FLAGS_r,J0660_petro,e_J0660_petro,SEX_FLAGS_J0660,i_petro,e_i_petro,SEX_FLAGS_i,J0861_petro,e_J0861_petro,SEX_FLAGS_J0861,z_petro,e_z_petro,SEX_FLAGS_z,zml,odds
"iDR4_3_SPLUS-s24s18_0037733","SPLUS-s24s18",26.912200450831033,-30.291539633125886,4441.8003,9497.702,1.3348109,0.25083017,-12.490557,1.7137421E-4,1.284056E-4,2.1833184,5.155876,22.01732,0.55318993,0,99.0,99.0,0,99.0,99.0,0,20.431313,0.36666495,0,21.859484,1.2980199,0,21.699238,0.3337546,0,21.199114,0.5433619,0,22.303364,0.63065267,0,21.119368,0.23976906,0,21.769592,0.554915,0,21.638144,1.0634675,0,21.04778,0.51350915,0,0.70916665,0.09940238
"iDR4_3_SPLUS-s24s18_0038406","SPLUS-s24s18",26.914357575655234,-30.28362802221343,4429.52,9549.473,1.0334052,0.032325387,44.41844,7.753739E-5,7.5033175E-5,1.4585218,2.038572,24.189123,2.4715278,0,99.0,99.0,0,21.725338,0.7851399,0,99.0,99.0,0,99.0,99.0,0,23.697622,1.2622128,0,21.985132,0.6817372,0,99.0,99.0,0,23.94966,1.953779,0,22.447533,0.62682956,0,22.185612,1.0621221,0,22.564938,1.2534406,0,0.8235,0.12861818
"iDR4_3_SPLUS-s24s18_0038854","SPLUS-s24s18",26.907595862633375,-30.285327792268838,4467.76,9538.408,1.5261728,0.3447662,5.266906,3.6019704E-4,2.3596996E-4,2.9921072,7.1987185,21.35977,0.3908746,0,21.406204,0.72764695,0,99.0,99.0,0,20.270508,0.40695772,0,20.569742,0.5120743,0,21.45346,0.3467779,0,20.441523,0.35178658,0,20.388329,0.14183162,0,20.886103,0.25161594,0,20.324936,0.19218835,0,21.207941,0.9301907,0,20.663208,0.47119072,0,0.1985,0.1740149
"iDR4_3_SPLUS-s24s18_0039039","SPLUS-s24s18",26.913399349800027,-30.28093423885225,4434.9067,9567.116,1.1041071,0.09429079,-28.30835,2.6082803E-4,2.3623914E-4,1.5892177,3.4639726,24.713114,6.558275,0,99.0,99.0,0,99.0,99.0,0,24.104437,10.570397,0,22.29333,1.8991296,0,20.521856,0.1129788,0,20.393385,0.25646892,0,19.173834,0.036926385,0,18.735867,0.02884851,0,17.943008,0.017783267,0,17.578333,0.027006993,0,17.409843,0.01896321,0,0.2075,0.14166276
"iDR4_3_SPLUS-s24s18_0039113","SPLUS-s24s18",26.90055107810158,-30.28802822640728,4507.6084,9520.794,1.2869236,0.22295308,7.237343,2.3336196E-4,1.8130723E-4,1.9426945,3.3173914,25.704657,7.751443,0,24.86714,6.4181504,0,24.852333,10.78949,0,22.688805,1.3812797,0,21.780218,0.577347,0,22.184427,0.2508296,0,24.458355,5.1817822,0,21.582561,0.1579196,0,22.162647,0.3012074,0,21.302198,0.17395048,0,21.177925,0.33406582,0,21.889977,0.5324528,0,0.35733333,0.111641034
"iDR4_3_SPLUS-s24s18_0039439","SPLUS-s24s18",26.914056167026168,-30.291834193062257,4431.315,9495.757,1.6310129,0.38688403,57.686535,3.5085218E-4,2.1520485E-4,3.3954692,7.6249857,21.32002,0.40319088,0,99.0,99.0,0,99.0,99.0,0,20.481743,0.53123647,0,21.17555,0.96204215,0,20.43501,0.14547068,0,20.191732,0.29947534,0,20.3991,0.15258314,0,20.369583,0.16691712,0,20.001213,0.1518684,0,19.928535,0.30609515,0,20.318256,0.36487865,0,0.09058333,0.39151773
"iDR4_3_SPLUS-s24s18_0039563","SPLUS-s24s18",26.902648979989703,-30.29293304941302,4495.8013,9488.667,1.2081469,0.1722861,12.597067,2.349748E-4,1.9446226E-4,3.2324352,8.45297,23.84588,3.499459,2,99.0,99.0,2,99.0,99.0,2,21.344309,0.9951611,2,21.053051,0.7266761,2,22.463203,0.7944641,2,24.024933,8.644959,2,21.009281,0.22727743,2,21.889713,0.57442147,2,20.69144,0.24374372,2,21.228924,0.86270803,2,20.716072,0.44901028,2,0.7555,0.08639861
"iDR4_3_SPLUS-s24s18_0039569","SPLUS-s24s18",26.903508551195202,-30.294090471190422,4490.955,9481.083,1.0575929,0.05445659,65.08864,2.352937E-4,2.2250277E-4,2.85109,6.9433923,99.0,99.0,2,99.0,99.0,2,22.235199,2.3605304,2,99.0,99.0,2,21.006039,0.6620428,2,22.194296,0.5894528,2,22.189419,1.5107727,2,20.767256,0.1746203,2,21.358706,0.33811152,2,20.985,0.30632177,2,21.044718,0.706805,2,21.096088,0.61845,2,0.30758333,0.100476936
"iDR4_3_SPLUS-s24s18_0039829","SPLUS-s24s18",26.916872180275686,-30.295337325302313,4415.4375,9472.798,1.2040386,0.16946185,7.7058315,1.831304E-4,1.5207793E-4,1.6928083,3.3316495,99.0,99.0,0,99.0,99.0,0,22.761833,1.591382,0,21.90137,0.66334605,0,99.0,99.0,0,23.224916,0.63385004,0,22.81789,1.1231577,0,22.224817,0.27790427,0,22.039473,0.26722333,0,21.241856,0.16362844,0,22.052874,0.74266547,0,21.392376,0.3375323,0,0.7974167,0.120685875
"iDR4_3_SPLUS-s24s18_0039958","SPLUS-s24s18",26.915737696096304,-30.29411452371507,4421.836,9480.8125,1.3572961,0.2632411,-42.82051,1.17768155E-4,8.676723E-5,1.464328,2.427568,22.52546,0.6130126,0,24.140678,4.858456,0,99.0,99.0,0,21.753607,0.83359873,0,22.402622,1.4452192,0,22.979122,0.7294578,0,22.6062,1.3365712,0,24.888422,4.6183453,0,22.150965,0.42210102,0,99.0,99.0,0,21.522717,0.66026837,0,21.602993,0.5921224,0,0.7568333,0.14256576
"iDR4_3_SPLUS-s24s18_0039966","SPLUS-s24s18",26.9043483949227,-30.29572538190304,4486.2256,9470.373,2.0315151,0.5077566,-15.538641,2.5307835E-4,1.2465376E-4,3.1188257,5.6586976,99.0,99.0,0,25.137539,19.013802,0,24.019638,11.539792,0,21.823065,1.3845434,0,21.861479,1.373983,0,22.788078,0.9623471,0,21.699856,0.9060775,0,22.253502,0.6454586,0,21.664118,0.42164332,0,20.522934,0.18974757,0,21.936117,1.5154048,0,20.197647,0.25600424,0,0.78725,0.21800348
"iDR4_3_SPLUS-s24s18_0040003","SPLUS-s24s18",26.913149146828996,-30.295539015320546,4436.4824,9471.513,1.0059471,0.0059119463,46.356815,7.657115E-5,7.612105E-5,1.2821754,1.7502953,23.854969,1.9510757,0,23.175928,1.8733195,0,21.251373,0.54064935,0,26.255896,48.98729,0,22.970455,2.277665,0,26.101435,12.072319,0,99.0,99.0,0,22.479559,0.4731081,0,99.0,99.0,0,99.0,99.0,0,21.773346,0.7766519,0,22.868488,1.7728348,0,0.72683334,0.15736865
"iDR4_3_SPLUS-s24s18_0040338","SPLUS-s24s18",26.88735222016802,-30.29908763568466,4582.3184,9448.508,1.9839879,0.49596465,89.23788,1.4113958E-4,7.114593E-5,1.5648199,2.7010794,99.0,99.0,0,22.130005,0.8413172,0,21.93585,1.206155,0,99.0,99.0,0,99.0,99.0,0,22.871334,0.73874503,0,27.632435,153.95634,0,23.78698,1.8846916,0,22.235773,0.5116389,0,22.022303,0.5356934,0,21.84664,0.99683297,0,21.126774,0.42886806,0,0.7478333,0.17726208
"iDR4_3_SPLUS-s24s18_0040510","SPLUS-s24s18",26.900763783749422,-30.296857589010077,4506.497,9462.993,1.2317023,0.18811554,44.80809,5.93284E-4,4.8169107E-4,4.5127506,9.734229,21.465435,0.89447397,0,19.716503,0.31866306,0,19.954117,0.67313915,0,18.979595,0.25010762,0,20.426525,0.9037031,0,19.35333,0.10093428,0,18.967672,0.18257189,0,18.446636,0.04849982,0,18.326303,0.04907778,0,17.859035,0.04057041,0,17.758783,0.08060516,0,17.536957,0.054655522,0,0.29583332,0.3811567
"iDR4_3_SPLUS-s24s18_0040532","SPLUS-s24s18",26.918689042518057,-30.300805908556576,4405.231,9436.981,1.6205653,0.3829314,-89.053276,1.0433763E-4,6.438485E-5,1.8224888,3.9961827,24.51057,2.8110762,0,23.610409,2.2134476,0,99.0,99.0,0,21.69944,0.5894123,0,24.172731,5.4078426,0,23.329016,0.7452061,0,22.411797,0.8292492,0,22.46612,0.37098885,0,22.590801,0.4685369,0,22.887806,0.7842456,0,21.264538,0.3856102,0,23.32552,2.1317196,0,0.7665833,0.11172935
"iDR4_3_SPLUS-s24s18_0040593","SPLUS-s24s18",26.91205632546341,-30.278144360554265,4442.468,9585.392,2.3913968,0.5818344,10.264999,2.3201766E-4,9.694555E-5,1.2531341,1.6656988,22.381477,0.72596717,0,23.660294,3.447082,0,21.58207,0.86096895,0,21.821074,1.0032399,0,22.812067,2.372151,0,99.0,99.0,0,99.0,99.0,0,22.382254,0.5169758,0,25.305481,8.564126,0,99.0,99.0,0,21.84327,0.9771803,0,21.750198,0.74712825,0,0.45225,0.08208071
"iDR4_3_SPLUS-s24s18_0041157","SPLUS-s24s18",26.91378810745892,-30.306949825975668,4432.9976,9396.809,1.3388984,0.25311732,-38.372353,5.1500415E-4,3.846761E-4,3.2611444,8.7738905,20.038372,0.22508757,0,20.076353,0.41736484,0,19.749628,0.52549624,0,99.0,99.0,0,19.8686,0.5086104,0,19.62378,0.12138762,0,19.151308,0.20309328,0,18.392296,0.04328438,0,18.206938,0.04130669,0,17.953552,0.041540634,0,17.605587,0.065727204,0,17.583012,0.053452116,0,0.23825,0.5080402
"iDR4_3_SPLUS-s24s18_0041359","SPLUS-s24s18",26.906699998081702,-30.307413406269077,4473.059,9393.84,2.73364,0.63418734,-76.55028,6.045405E-4,2.2089061E-4,4.210276,9.360308,24.235302,10.4502325,2,21.54192,1.5711597,2,20.183517,0.76743764,2,19.6538,0.42764685,2,21.940506,3.3424385,2,20.777498,0.34279072,2,19.87732,0.38590574,2,19.820316,0.1562743,2,19.812662,0.17454976,2,19.098715,0.11600987,2,19.70243,0.44011167,2,19.423958,0.28473997,2,0.23225,0.41243964
"iDR4_3_SPLUS-s24s18_0041426","SPLUS-s24s18",26.892329464136562,-30.300441405354544,4554.2017,9439.6045,1.7923938,0.44208694,19.662704,1.1981129E-4,6.680772E-5,0.98618686,1.8261721,99.0,99.0,0,22.84634,0.74942994,0,23.78685,2.9844878,0,99.0,99.0,0,99.0,99.0,0,23.47907,0.59187555,0,99.0,99.0,0,23.833555,0.8939377,0,99.0,99.0,0,24.079784,1.6076071,0,23.66346,2.4035382,0,22.231121,0.53516597,0,0.70916665,0.13911782
"iDR4_3_SPLUS-s24s18_0042020","SPLUS-s24s18",26.90171795591977,-30.30742872354789,4501.214,9393.784,1.2034599,0.16906244,-25.592634,2.1921245E-4,1.8216856E-4,1.8376936,4.4042606,21.906454,0.39096892,0,24.780262,9.798685,0,99.0,99.0,0,21.908257,1.085331,0,22.922438,2.6140785,0,21.68522,0.25283626,0,21.735928,0.68147504,0,21.04104,0.153886,0,20.932642,0.1580293,0,20.872208,0.18943633,0,22.049314,1.2173196,0,20.660267,0.28213125,0,0.30641666,0.12481344
"iDR4_3_SPLUS-s24s18_0042163","SPLUS-s24s18",26.910189490006722,-30.307179184666605,4453.3364,9395.341,2.019817,0.5049057,-45.190487,1.7471098E-4,8.649433E-5,1.5166308,2.395305,23.207907,1.2391064,0,26.130188,32.802353,0,99.0,99.0,0,21.482883,0.7010678,0,99.0,99.0,0,22.917042,0.7503435,0,22.00547,0.8389467,0,26.515049,22.488518,0,21.75557,0.31779718,0,21.638311,0.3655001,0,22.135157,1.2565187,0,22.413078,1.3520759,0,0.7126667,0.12567945
